district_name,percent_ca,percent_retained,score_achievement,zipcode,countyname,street_address_1,city,longitude,latitude,district_ppe,local_funding_percent,state_funding_percent,federal_funding_percent
Fayette County Schools,14.683333333333332,71.01666666666667,2.4333333333333336,38068,Fayette County,10425 Hwy 76 S Hwy,Somerville,-89.32907,35.275036,9327.24,32.85,53.49,13.66
Fayetteville City Schools,15.066666666666668,81.56666666666666,1.7333333333333334,37334,Lincoln County,110 Elk Avenue South,Fayetteville,-86.57433,35.136177,9363.84,55.06,37.41,7.53
Fentress County Schools,9.24,82.12,2.52,38556,Fentress County,1011 Old Hwy 127,Jamestown,-84.93393,36.409385,9301.92,19.07,64.87,16.06
Franklin County Schools,8.60909090909091,86.68181818181819,2.3272727272727276,37398,Franklin County,215 South College St,Winchester,-86.14045,35.192829,9579.16,33.85,54.2,11.95
Franklin Special School District,4.271428571428571,87.98571428571428,3.4428571428571426,37064,Williamson County,507  Highway  96 West,Franklin,-86.89919,35.893823,15557.17,79.89,16.56,3.54
Germantown Municipal School District,3.04,87.05999999999999,3.5599999999999996,38138,Shelby County,6685 Poplar Ave,Germantown,-89.80677,35.088885,9066.42,61.26,33.86,4.88
Gibson County Special School District,5.8999999999999995,75.22857142857143,3.185714285714286,38330,Gibson County,130 Hwy  45 W Box 60,Dyer,-89.01767,36.073575,8004.69,30.29,59.54,10.17
Giles County Schools,12.585714285714287,86.3142857142857,2.1714285714285713,38478,Giles County,270  Richland  Dr,Pulaski,-87.01246,35.204983,9480.63,32.42,55.15,12.43
Grainger County Schools,18.633333333333333,92.46666666666665,2.1999999999999997,37861,Grainger County,7850 Rutledge Pike,Rutledge,-83.51516,36.243526,9205.32,15.23,72.43,12.34
Greene County Schools,8.84,84.40666666666668,2.3400000000000003,37743,Greene County,910 Summer St,Greeneville,-82.85446,36.102325,9061.81,28.27,59.49,12.24
Greeneville City Schools,5.1000000000000005,91.48333333333335,2.533333333333333,37743,Greene County,129 West Depot St,Greeneville,-82.85446,36.102325,11122.27,43.92,47.27,8.81
Grundy County Schools,5.8999999999999995,79.58571428571429,2.1714285714285713,37301,Grundy County,1376 Main St,Altamont,-85.77679,35.429018,9586.17,13.62,68.66,17.71
Hamblen County Schools,7.094117647058824,88.71176470588235,2.7529411764705887,37813,Hamblen County,210 East  Morris Blvd,Morristown,-83.27474,36.186008,9065.96,31.07,56.91,12.02
Hamilton County Schools,11.694285714285714,78.30428571428571,2.817142857142857,37421,Hamilton County,3074 Hickory Valley Rd,Chattanooga,-85.15939,35.028574,10095.34,52.68,35.98,11.34
Hancock County Schools,16.65,80.7,0.7,37869,Hancock County,418 Harrison St,Sneedville,-83.22818,36.521297,9846.85,12.73,71.43,15.84
Hardeman County Schools,9.3625,87.33749999999999,1.775,38008,Hardeman County,10815 Old Hwy. 64,Bolivar,-88.98751,35.25543,10415.14,23.66,61.95,14.39
Hardin County Schools,13.733333333333334,91.06666666666666,2.2666666666666666,38372,Hardin County,155 Guinn St,Savannah,-88.18946,35.180947,9116.37,38.78,47.73,13.5
Hawkins County Schools,12.870588235294116,85.65882352941178,2.317647058823529,37857,Hawkins County,200 N  Depot St,Rogersville,-82.96804,36.413437,9974.21,28.81,58.97,12.22
Haywood County Schools,16.3,72.4,1.8,38012,Haywood County,900 East Main St,Brownsville,-89.2609,35.590558,11370.33,23.97,59.87,16.16
Henderson County Schools,9.137500000000001,95.28750000000001,3.3125000000000004,38351,Henderson County,35 East Wilson St,Lexington,-88.40535,35.658409,8787.83,23.71,63.29,12.99
Henry County School System,8.866666666666667,84.46666666666665,2.3666666666666667,38242,Henry County,217  Grove  Blvd,Paris,-88.32891,36.300311,9689.62,38.65,50.64,10.71
Hickman County Schools,10.700000000000001,78.38333333333333,1.7666666666666668,37033,Hickman County,115  Murphree  Ave,Centerville,-87.49418,35.76714,9679.42,16.69,70.15,13.16
Hollow Rock-Bruceton Special School District,6.550000000000001,83.69999999999999,2.5,38317,Carroll County,29590 Broad St,Bruceton,-88.25144,36.038551,8786.03,19.92,67.06,13.02
Houston County Schools,16.9,88.375,1.65,37061,Houston County,6460 Hwy 13 South,Erin,-87.68198,36.301089,9369.76,16.02,72.12,11.86
Humboldt City Schools,13.55,64.35,0.9,38343,Gibson County,2602 Viking Dr,Humboldt,-88.90218,35.825299,11198.8,23.8,56.18,20.02
Humphreys County School System,14.200000000000001,88.05000000000001,2.6666666666666665,37185,Humphreys County,2443 Hwy  70 E,Waverly,-87.81626,36.085376,8673.32,30.52,58.02,11.47
Huntingdon Special School District,5.2,84.46666666666665,2.1666666666666665,38344,Carroll County,585 High St,Huntingdon,-88.41385,35.995802,8709.33,23.27,64.27,12.46
Jackson County Schools,8.625,86.475,1.9999999999999998,38562,Jackson County,711 School Dr,Gainesboro,-85.65757,36.351803,10174.18,17.52,67.41,15.07
Jackson-Madison County Schools,17.75,77.91,1.7449999999999999,38305,Madison County,310  North  Pkwy,Jackson,-88.80653,35.693101,9842.48,45.41,40.04,14.55
Jefferson County Schools,10.98,89.42000000000002,2.19,37725,Jefferson County,1221 Gay St,Dandridge,-83.39791,35.996454,8964.09,29.88,59.11,11.01
Johnson City Schools,9.071428571428571,85.85714285714286,3.414285714285714,37605,Washington County,100 E. Maple,Johnson City,-82.383792,36.315795,9970.04,53.82,37.82,8.35
Johnson County Schools,8.459999999999999,83.7,2.2,37683,Johnson County,211 N  Church St,Mountain City,-81.81906,36.451041,10727.45,21.43,62.69,15.88
Kingsport City Schools,12.42,87.09,3.2299999999999995,37660,Sullivan County,400 Clinchfield St,Kingsport,-82.55408,36.547133,10614.21,53.87,37.52,8.61
Knox County Schools,15.686486486486489,82.38783783783781,2.3824324324324317,37902,Knox County,912 South  Gay St,Knoxville,-83.91964,35.964032,9170.47,49.48,40.77,9.75
Lake County School System,22.96666666666667,80.7,1.6333333333333335,38079,Lake County,819 McBride,Tiptonville,-89.50472,36.513386,12152.5,30.52,56.83,12.64
Lauderdale County Schools,9.5,79.5,1.94,38063,Lauderdale County,321 Armory Ave,Ripley,-89.86859,35.637993,10136.09,17.76,66.29,15.95
Lawrence County Schools,11.883333333333333,86.925,2.75,38464,Lawrence County,700 Mahr Ave,Lawrenceburg,-87.37522,35.259613,8711.47,26.5,61.18,12.33
Lebanon Special School District,8.42,87.84,2.8,37087,Wilson County,397 North Castle Heights Ave,Lebanon,-86.29271,36.240331,9404.52,44.76,46.23,9.01
Lenoir City Schools,9.966666666666667,89.73333333333333,3.233333333333333,37771,Loudon County,200 East Broadway,Lenoir City,-84.29301,35.815524,10010.89,50.14,38.9,10.96
Lewis County Schools,9.733333333333334,84.63333333333333,1.9333333333333336,38462,Lewis County,206  S  Court St,Hohenwald,-87.54905,35.535397,9202.08,21.77,66.04,12.19
Lexington City Schools,9.15,94.25,2.5999999999999996,38351,Henderson County,99 Monroe Ave,Lexington,-88.40535,35.658409,10351.05,28.79,59.58,11.64
Lincoln County Department of Education,13.257142857142856,81.95714285714287,2.8000000000000003,37334,Lincoln County,206 E  Davidson Dr,Fayetteville,-86.57433,35.136177,8963.69,56.45,37.5,6.05
Loudon County Schools,9.1625,85.41250000000001,2.85,37774,Loudon County,100  River  Rd,Loudon,-84.33069,35.725969,9562.37,44.92,46.27,8.81
Macon County Schools,11.26,89.64,1.86,37083,Macon County,501  College  St,Lafayette,-86.01497,36.537994,8711.61,18.07,68.93,13.0
Manchester City Schools,10.666666666666666,87.2,2.733333333333333,37355,Coffee County,215  East  Fort St,Manchester,-86.08414,35.500068,11196.55,41.58,48.32,10.1
Marion County Schools,19.066666666666666,85.4,1.9888888888888892,37347,Marion County,204  Betsy  Pack Dr,Jasper,-85.61818,35.065007,8845.94,28.71,57.31,13.98
Marshall County Schools,12.58888888888889,88.07777777777778,2.6333333333333333,37091,Marshall County,700  Jones  Cir,Lewisburg,-86.7792,35.461359,8961.68,29.68,60.4,9.92
Maryville City Schools,4.685714285714286,88.1857142857143,3.7714285714285714,37803,Blount County,833  Lawrence  Ave,Maryville,-83.98412,35.693358,10842.58,55.1,39.66,5.23
Maury County Schools,14.516666666666667,79.61666666666666,2.088888888888889,38401,Maury County,501 West 8th St,Columbia,-87.03565,35.619784,8844.7,38.02,51.75,10.22
McKenzie Special School District,2.733333333333333,85.86666666666667,2.7999999999999994,38201,Carroll County,114  W  Bell Ave,McKenzie,-88.52246,36.133065,8746.0,20.76,67.14,12.1
McMinn County Schools,10.6625,89.22500000000001,2.3000000000000003,37303,McMinn County,3 South Hill St,Athens,-84.61975,35.441378,8900.64,26.98,58.63,14.39
McNairy County Schools,6.4375,92.14999999999999,2.5125,38375,McNairy County,530 Mulberry Ave,Selmer,-88.59327,35.165045,8856.31,17.83,68.26,13.91
Meigs County School System,7.05,91.37499999999999,2.15,37322,Meigs County,345 North Main Street,Decatur,-84.80741,35.503723,9094.61,16.33,69.85,13.82
Metro Nashville Public Schools,14.61549295774648,66.23591549295776,1.9964788732394363,37204,Davidson County,2601 Bransford Ave,Nashville,-86.77626,36.112058,12757.11,63.39,26.07,10.54
Milan Special School District,6.0,80.1,2.766666666666667,38358,Gibson County,1165 South Main St,Milan,-88.76628,35.916722,9376.89,26.17,62.26,11.56
Millington Municipal School District,15.649999999999999,80.125,2.275,38053,Shelby County,5020 Second Ave,Millington,-89.90668,35.347965,10631.43,45.74,42.2,12.06
Monroe County Schools,12.100000000000001,86.03999999999999,1.8399999999999999,37354,Monroe County,205  Oak  Grove Rd,Madisonville,-84.35738,35.506259,9600.78,27.11,61.21,11.67
Moore County Schools,13.55,90.75,2.1,37352,Moore County,241 Main St,Lynchburg,-86.35264,35.276795,11231.69,58.56,36.36,5.08
Morgan County Schools,5.9799999999999995,81.94,0.96,37887,Morgan County,136 Flat Fork Rd,Wartburg,-84.56863,36.091018,9593.73,15.0,70.22,14.78
Murfreesboro City Schools,6.933333333333334,77.63333333333334,2.908333333333333,37127,Rutherford County,2552  South  Church St,Murfreesboro,-86.34445,35.791021,10002.29,42.13,47.76,10.11
Newport City School,12.2,93.8,2.6,37821,Cocke County,301 College St,Newport,-83.20116,35.963276,9794.27,27.2,56.36,16.43
Oak Ridge City Schools,10.57142857142857,89.35714285714286,2.8285714285714287,37830,Anderson County,304 New York Ave,Oak Ridge,-84.27044,35.992691,12874.95,54.22,37.23,8.55
Obion County Schools,13.183333333333332,90.58333333333333,2.5,38261,Obion County,1700 North Fifth St,Union City,-89.0727,36.426933,9457.02,29.24,59.12,11.64
Oneida Special School District,10.066666666666666,90.73333333333333,2.4,37841,Scott County,195 North Bank,Oneida,-84.51808,36.49787,9604.27,20.95,68.79,10.26
Overton County Schools,11.557142857142855,89.60000000000001,2.2285714285714286,38570,Overton County,302 Zachary St,Livingston,-85.32585,36.376289,8423.85,25.61,61.71,12.68
Paris Special School District,11.350000000000001,84.9,2.45,38242,Henry County,1219 Hwy 641 S,Paris,-88.32891,36.300311,9895.52,35.74,51.54,12.72
Perry County Schools,10.3,83.60000000000001,1.9333333333333333,37096,Perry County,857 Squirrel Hollow Dr,Linden,-87.87486,35.61432,11215.17,22.69,61.87,15.44
Pickett County Schools,13.5,93.75,1.6,38549,Pickett County,141 Skyline Dr,Byrdstown,-85.15007,36.572543,10453.06,21.55,65.14,13.31
Polk County Schools,15.75,90.43333333333334,2.8000000000000003,37307,Polk County,131 Stephens St,Benton,-84.63913,35.172376,9452.85,21.38,63.7,14.92
Putnam County School System,10.456249999999999,90.54375,2.50625,38506,Putnam County,1400 East Spring St,Cookeville,-85.46238,36.177831,9144.51,33.69,52.99,13.32
Rhea County Schools,6.257142857142857,86.51428571428572,2.6714285714285713,37321,Rhea County,305  California  Ave,Dayton,-85.01032,35.495894,9287.91,26.17,59.74,14.1
Richard Hardy Memorial School,5.2,86.4,2.0,37380,Marion County,1620  Hamilton  Ave,South Pittsburg,-85.72513,35.045886,9223.32,24.81,63.3,11.89
Roane County Schools,11.293333333333333,88.08,2.5933333333333333,37763,Roane County,105  Bluff  Rd,Kingston,-84.50562,35.839274,9730.27,40.12,49.2,10.68
