Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
190 8006,190,190,Metro Nashville Public Schools,8006,STEM Prep Academy,528,*,*,,,,2020,,
190 8005,190,190,Metro Nashville Public Schools,8005,Liberty Collegiate Academy,419,*,*,,,,2020,,
985 8005,985,985,Achievement School District,8005,Brick Church: A LEAD Public School,337,*,*,,,,2020,,
986 8005,986,986,Tennessee State Board of Education,8005,Bluff City High School,416,*,*,,,,2020,,
190 8003,190,190,Metro Nashville Public Schools,8003,Lead Academy,456,*,*,,,,2020,,
330 8003,330,330,Hamilton County,8003,Chattanooga Charter School of Excellence,350,*,*,,,,2020,,
190 8002,190,190,Metro Nashville Public Schools,8002,KIPP Academy Nashville,378,*,*,,,,2020,,
330 8002,330,330,Hamilton County,8002,Ivy Academy Inc.,377,*,*,,,,2020,,
190 8001,190,190,Metro Nashville Public Schools,8001,Smithson Craighead Academy,208,*,*,,,,2020,,
330 8001,330,330,Hamilton County,8001,Chattanooga Girls Leadership Academy,366,*,*,,,,2020,,
470 8001,470,470,Knox County,8001,Emerald Academy,476,*,*,,,,2020,,
792 7214,792,792,Shelby County,7214,Ridgeway Early Learning Center,156,*,*,,,,2020,,
792 7213,792,792,Shelby County,7213,Early Childhood Programs,2064,*,*,,,,2020,,
190 7020,190,190,Metro Nashville Public Schools,7020,Casa Azafran Early Learning Center,83,*,*,,,,2020,,
190 7015,190,190,Metro Nashville Public Schools,7015,Ross Early Learning Center,219,*,*,,,,2020,,
190 7010,190,190,Metro Nashville Public Schools,7010,Ivanetta H. Davis Learning Center at Bordeaux,157,*,*,,,,2020,,
190 7005,190,190,Metro Nashville Public Schools,7005,Cambridge Early Learning Center,134,*,*,,,,2020,,
190 7003,190,190,Metro Nashville Public Schools,7003,Wayne Reed Child Care Center,0,*,*,,,,2020,,
190 7002,190,190,Metro Nashville Public Schools,7002,Susan Gray School,0,*,*,,,,2020,,
300 7002,300,300,Greene County,7002,Small Miracles - Holston U. M. Home For Children,0,*,*,,,,2020,,
010 7001,10,10,Anderson County,7001,Anderson County Head Start / Preschool,70,*,*,,,,2020,,
050 7001,50,50,Blount County,7001,Eagleton 1 Head Start,0,*,*,,,,2020,,
093 7001,93,93,Huntingdon Special School District,7001,Northwest Head Start - Huntingdon,39,*,*,,,,2020,,
190 7001,190,190,Metro Nashville Public Schools,7001,Martha O' Bryan Center,0,*,*,,,,2020,,
220 7001,220,220,Dickson County,7001,Special Services,30,*,*,,,,2020,,
300 7001,300,300,Greene County,7001,The Children's Center - Holston U. M. Home For Children,20,*,*,,,,2020,,
340 7001,340,340,Hancock County,7001,Hancock County Early Learning Center,58,*,*,,,,2020,,
450 7001,450,450,Jefferson County,7001,Dandridge Head Start,0,*,*,,,,2020,,
470 7001,470,470,Knox County,7001,Montgomery Village Child Development Center Inc.,0,*,*,,,,2020,,
550 7001,550,550,McNairy County,7001,McNairy County Adult Learning Center,0,*,*,,,,2020,,
710 7001,710,710,Putnam County,7001,T T U Child Development Lab,20,*,*,,,,2020,,
780 7001,780,780,Sevier County,7001,Douglas Dam Head Start,0,*,*,,,,2020,,
810 7001,810,810,Stewart County,7001,Highland Rim Head Start,0,*,*,,,,2020,,
860 7001,860,860,Unicoi County,7001,Unicoi Community Learning Center,103,*,*,,,,2020,,
901 7001,901,901,Johnson City,7001,Little Buccaneers Student Child Care Center,0,*,*,,,,2020,,
792 2840,792,792,Shelby County,2840,Westhaven Elementary,841,*,*,,,,2020,,
792 2836,792,792,Shelby County,2836,Maxine Smith STEAM Academy,374,*,*,,,,2020,,
792 2835,792,792,Shelby County,2835,Grandview Heights Middle School,424,*,*,,,,2020,,
792 2832,792,792,Shelby County,2832,Memphis Virtual School,109,*,*,,,,2020,,
792 2830,792,792,Shelby County,2830,Carver College and Career Academy,686,*,*,,,,2020,,
792 2824,792,792,Shelby County,2824,Northwest Prep Academy,114,*,*,,,,2020,,
792 2815,792,792,Shelby County,2815,Wooddale High,629,*,*,,,,2020,,
792 2810,792,792,Shelby County,2810,Winridge Elementary,519,*,*,,,,2020,,
792 2805,792,792,Shelby County,2805,Winchester Elementary,601,*,*,,,,2020,,
792 2800,792,792,Shelby County,2800,Willow Oaks Elementary,729,*,*,,,,2020,,
792 2790,792,792,Shelby County,2790,Whitehaven High,1577,*,*,,,,2020,,
792 2785,792,792,Shelby County,2785,Whitehaven Elementary,457,*,*,,,,2020,,
792 2783,792,792,Shelby County,2783,White Station Middle,1261,*,*,,,,2020,,
792 2780,792,792,Shelby County,2780,White Station High,2033,*,*,,,,2020,,
792 2777,792,792,Shelby County,2777,White Station Elementary,692,*,*,,,,2020,,
792 2770,792,792,Shelby County,2770,Westwood High,361,*,*,,,,2020,,
792 2750,792,792,Shelby County,2750,Westside Elementary,358,*,*,,,,2020,,
792 2745,792,792,Shelby County,2745,Wells Station Elementary,790,*,*,,,,2020,,
792 2740,792,792,Shelby County,2740,A. Maceo Walker Middle,822,*,*,,,,2020,,
792 2730,792,792,Shelby County,2730,Vollentine Elementary,339,*,*,,,,2020,,
792 2727,792,792,Shelby County,2727,Trezevant Career and Technology Center,0,*,*,,,,2020,,
792 2726,792,792,Shelby County,2726,University Middle,75,*,*,,,,2020,,
792 2725,792,792,Shelby County,2725,Trezevant High,506,*,*,,,,2020,,
792 2723,792,792,Shelby County,2723,Treadwell Middle School,603,*,*,,,,2020,,
792 2717,792,792,Shelby County,2717,Riverwood Elementary School,916,*,*,,,,2020,,
792 2715,792,792,Shelby County,2715,Treadwell Elementary,791,*,*,,,,2020,,
792 2705,792,792,Shelby County,2705,Springdale Elementary,303,*,*,,,,2020,,
792 2703,792,792,Shelby County,2703,Southwest Career  Technology Center,0,*,*,,,,2020,,
792 2700,792,792,Shelby County,2700,Exceptional Children Special Placements,560,*,*,,,,2020,,
792 2695,792,792,Shelby County,2695,South Park Elementary,542,*,*,,,,2020,,
792 2692,792,792,Shelby County,2692,Oak Forest Elementary,435,*,*,,,,2020,,
792 2690,792,792,Shelby County,2690,Snowden Elementary/Middle,1276,*,*,,,,2020,,
792 2680,792,792,Shelby County,2680,Shelby Oaks Elementary,842,*,*,,,,2020,,
792 2675,792,792,Shelby County,2675,Shrine School,128,*,*,,,,2020,,
792 2670,792,792,Shelby County,2670,Sherwood Middle,817,*,*,,,,2020,,
792 2665,792,792,Shelby County,2665,Sherwood Elementary,601,*,*,,,,2020,,
792 2663,792,792,Shelby County,2663,Sheffield Career  Technology Center,0,*,*,,,,2020,,
792 2660,792,792,Shelby County,2660,Sheffield High,547,*,*,,,,2020,,
792 2655,792,792,Shelby County,2655,Sheffield Elementary,567,*,*,,,,2020,,
792 2650,792,792,Shelby County,2650,Sharpe Elementary,333,*,*,,,,2020,,
792 2640,792,792,Shelby County,2640,Shady Grove Elementary,389,*,*,,,,2020,,
792 2637,792,792,Shelby County,2637,Sea Isle Elementary,494,*,*,,,,2020,,
792 2633,792,792,Shelby County,2633,Scenic Hills Elementary,296,*,*,,,,2020,,
792 2630,792,792,Shelby County,2630,Rozelle Elementary,251,*,*,,,,2020,,
792 2627,792,792,Shelby County,2627,Ross Elementary,663,*,*,,,,2020,,
792 2626,792,792,Shelby County,2626,Robert R. Church Elementary,710,*,*,,,,2020,,
792 2625,792,792,Shelby County,2625,Riverview Elementary/Middle,412,*,*,,,,2020,,
792 2615,792,792,Shelby County,2615,Ridgeway High,1016,*,*,,,,2020,,
792 2612,792,792,Shelby County,2612,Ridgeway Middle,783,*,*,,,,2020,,
792 2610,792,792,Shelby County,2610,Balmoral/Ridgeway Elementary,312,*,*,,,,2020,,
792 2600,792,792,Shelby County,2600,Richland Elementary,883,*,*,,,,2020,,
792 2599,792,792,Shelby County,2599,Raleigh Egypt Middle School,467,*,*,,,,2020,,
792 2598,792,792,Shelby County,2598,Raleigh-Egypt High,595,*,*,,,,2020,,
792 2597,792,792,Shelby County,2597,Raleigh-Bartlett Meadows Elementary,505,*,*,,,,2020,,
792 2570,792,792,Shelby County,2570,Peabody Elementary,375,*,*,,,,2020,,
792 2565,792,792,Shelby County,2565,Overton High,1261,*,*,,,,2020,,
792 2550,792,792,Shelby County,2550,Oakshire Elementary,389,*,*,,,,2020,,
792 2545,792,792,Shelby County,2545,Oakhaven High,369,*,*,,,,2020,,
792 2543,792,792,Shelby County,2543,Oakhaven Middle,321,*,*,,,,2020,,
792 2540,792,792,Shelby County,2540,Oakhaven Elementary,566,*,*,,,,2020,,
792 2525,792,792,Shelby County,2525,Newberry Elementary,457,*,*,,,,2020,,
792 2520,792,792,Shelby County,2520,Mitchell High,417,*,*,,,,2020,,
792 2515,792,792,Shelby County,2515,Middle College High,322,*,*,,,,2020,,
792 2493,792,792,Shelby County,2493,Melrose High,683,*,*,,,,2020,,
792 2480,792,792,Shelby County,2480,Manassas High,423,*,*,,,,2020,,
792 2470,792,792,Shelby County,2470,Magnolia Elementary,311,*,*,,,,2020,,
792 2463,792,792,Shelby County,2463,Lucie E. Campbell Elementary,608,*,*,,,,2020,,
792 2435,792,792,Shelby County,2435,Levi Elementary,475,*,*,,,,2020,,
792 2395,792,792,Shelby County,2395,Larose Elementary,254,*,*,,,,2020,,
792 2385,792,792,Shelby County,2385,Knight Road Elementary,477,*,*,,,,2020,,
792 2379,792,792,Shelby County,2379,Kirby High,907,*,*,,,,2020,,
792 2377,792,792,Shelby County,2377,Kingsbury Career  Technology Center,0,*,*,,,,2020,,
792 2375,792,792,Shelby County,2375,Kingsbury High,1351,*,*,,,,2020,,
792 2373,792,792,Shelby County,2373,Kingsbury Middle,670,*,*,,,,2020,,
792 2370,792,792,Shelby County,2370,Kingsbury Elementary,585,*,*,,,,2020,,
792 2368,792,792,Shelby County,2368,Keystone Elementary,483,*,*,,,,2020,,
792 2362,792,792,Shelby County,2362,J. P. Freeman Elementary/Middle,628,*,*,,,,2020,,
792 2360,792,792,Shelby County,2360,Jackson Elementary,321,*,*,,,,2020,,
792 2355,792,792,Shelby County,2355,Idlewild Elementary,509,*,*,,,,2020,,
792 2353,792,792,Shelby County,2353,Ida B. Wells Academy ES/MS,157,*,*,,,,2020,,
792 2343,792,792,Shelby County,2343,Holmes Road Elementary,729,*,*,,,,2020,,
792 2338,792,792,Shelby County,2338,Hollis F. Price Middle College,98,*,*,,,,2020,,
792 2333,792,792,Shelby County,2333,Hickory Ridge Middle,871,*,*,,,,2020,,
792 2331,792,792,Shelby County,2331,Hickory Ridge Elementary,746,*,*,,,,2020,,
792 2330,792,792,Shelby County,2330,Hawkins Mill Elementary,331,*,*,,,,2020,,
792 2325,792,792,Shelby County,2325,Havenview Middle,748,*,*,,,,2020,,
792 2317,792,792,Shelby County,2317,Hamilton High,646,*,*,,,,2020,,
792 2311,792,792,Shelby County,2311,Hamilton School,577,*,*,,,,2020,,
792 2285,792,792,Shelby County,2285,Grahamwood Elementary,992,*,*,,,,2020,,
792 2260,792,792,Shelby County,2260,Goodlett Elementary,429,*,*,,,,2020,,
792 2259,792,792,Shelby County,2259,Getwell Elementary,523,*,*,,,,2020,,
792 2258,792,792,Shelby County,2258,Germanshire Elementary,822,*,*,,,,2020,,
792 2255,792,792,Shelby County,2255,Georgian Hills Middle,331,*,*,,,,2020,,
792 2245,792,792,Shelby County,2245,Geeter School,634,*,*,,,,2020,,
792 2230,792,792,Shelby County,2230,Gardenview Elementary,360,*,*,,,,2020,,
792 2215,792,792,Shelby County,2215,Fox Meadows Elementary,608,*,*,,,,2020,,
792 2210,792,792,Shelby County,2210,Ford Road Elementary,572,*,*,,,,2020,,
792 2185,792,792,Shelby County,2185,Evans Elementary,475,*,*,,,,2020,,
792 2183,792,792,Shelby County,2183,Egypt Elementary,556,*,*,,,,2020,,
792 2180,792,792,Shelby County,2180,East High,432,*,*,,,,2020,,
792 2165,792,792,Shelby County,2165,Dunbar Elementary,235,*,*,,,,2020,,
792 2162,792,792,Shelby County,2162,Downtown Elementary,722,*,*,,,,2020,,
792 2160,792,792,Shelby County,2160,Douglass High,611,*,*,,,,2020,,
792 2155,792,792,Shelby County,2155,Douglass Elementary/Middle,462,*,*,,,,2020,,
792 2153,792,792,Shelby County,2153,Double Tree Elementary,420,*,*,,,,2020,,
792 2145,792,792,Shelby County,2145,Delano Elementary,218,*,*,,,,2020,,
792 2135,792,792,Shelby County,2135,Cummings Elementary/Middle,495,*,*,,,,2020,,
792 2133,792,792,Shelby County,2133,Crump Elementary,545,*,*,,,,2020,,
792 2130,792,792,Shelby County,2130,Cromwell Elementary,464,*,*,,,,2020,,
792 2128,792,792,Shelby County,2128,Craigmont Middle,556,*,*,,,,2020,,
792 2126,792,792,Shelby County,2126,Craigmont High,764,*,*,,,,2020,,
792 2119,792,792,Shelby County,2119,Cordova High School,2222,*,*,,,,2020,,
792 2118,792,792,Shelby County,2118,Cordova Middle,790,*,*,,,,2020,,
792 2117,792,792,Shelby County,2117,Cordova Elementary,807,*,*,,,,2020,,
792 2116,792,792,Shelby County,2116,Kate Bond Elementary School,852,*,*,,,,2020,,
792 2115,792,792,Shelby County,2115,Colonial Middle,1138,*,*,,,,2020,,
792 2108,792,792,Shelby County,2108,Chickasaw Middle,361,*,*,,,,2020,,
792 2100,792,792,Shelby County,2100,Cherokee Elementary,478,*,*,,,,2020,,
792 2095,792,792,Shelby County,2095,Charjean Elementary,302,*,*,,,,2020,,
792 2090,792,792,Shelby County,2090,Central High,1433,*,*,,,,2020,,
792 2070,792,792,Shelby County,2070,Campus Elementary,329,*,*,,,,2020,,
792 2060,792,792,Shelby County,2060,Bruce Elementary,546,*,*,,,,2020,,
792 2057,792,792,Shelby County,2057,Brownsville Road Elementary,560,*,*,,,,2020,,
792 2053,792,792,Shelby County,2053,William Herbert Brewster Elementary School,497,*,*,,,,2020,,
792 2050,792,792,Shelby County,2050,Bethel Grove Elementary,225,*,*,,,,2020,,
792 2049,792,792,Shelby County,2049,Chimneyrock Elementary School,960,*,*,,,,2020,,
792 2045,792,792,Shelby County,2045,Berclair Elementary,647,*,*,,,,2020,,
792 2040,792,792,Shelby County,2040,Bellevue Middle,596,*,*,,,,2020,,
792 2030,792,792,Shelby County,2030,B. T. Washington High,470,*,*,,,,2020,,
792 2025,792,792,Shelby County,2025,Avon School,177,*,*,,,,2020,,
792 2023,792,792,Shelby County,2023,American Way Middle,748,*,*,,,,2020,,
792 2020,792,792,Shelby County,2020,Alton Elementary,340,*,*,,,,2020,,
792 2007,792,792,Shelby County,2007,Kate Bond Middle School,1133,*,*,,,,2020,,
792 2005,792,792,Shelby County,2005,A. B. Hill Elementary,385,*,*,,,,2020,,
301 1010,301,301,Greeneville,1010,Greeneville/Greene Co Center For Technology,0,*,*,,,,2020,,
830 1010,830,830,Sumner County,1010,Sumner County Middle Technical College High School at Portla,21,*,*,,,,2020,,
190 0755,190,190,Metro Nashville Public Schools,755,Waverly-Belmont Elementary School,502,*,*,,,,2020,,
190 0750,190,190,Metro Nashville Public Schools,750,Smith Springs Elementary School,645,*,*,,,,2020,,
190 0745,190,190,Metro Nashville Public Schools,745,The Cohn Learning Center,57,*,*,,,,2020,,
190 0740,190,190,Metro Nashville Public Schools,740,Johnson Alternative Learning Center,133,*,*,,,,2020,,
190 0725,190,190,Metro Nashville Public Schools,725,Transitions at Bass,0,*,*,,,,2020,,
190 0720,190,190,Metro Nashville Public Schools,720,The Academy at Hickory Hollow,73,*,*,,,,2020,,
190 0715,190,190,Metro Nashville Public Schools,715,Wright Middle,803,*,*,,,,2020,,
190 0704,190,190,Metro Nashville Public Schools,704,Whites Creek High,507,*,*,,,,2020,,
190 0700,190,190,Metro Nashville Public Schools,700,Isaiah T. Creswell Middle School of the Arts,362,*,*,,,,2020,,
190 0695,190,190,Metro Nashville Public Schools,695,Westmeade Elementary,423,*,*,,,,2020,,
190 0690,190,190,Metro Nashville Public Schools,690,West End Middle,501,*,*,,,,2020,,
190 0675,190,190,Metro Nashville Public Schools,675,Warner Elementary,215,*,*,,,,2020,,
190 0670,190,190,Metro Nashville Public Schools,670,Carter-Lawrence Elementary,275,*,*,,,,2020,,
190 0655,190,190,Metro Nashville Public Schools,655,Una Elementary,728,*,*,,,,2020,,
190 0650,190,190,Metro Nashville Public Schools,650,Two Rivers Middle,413,*,*,,,,2020,,
190 0645,190,190,Metro Nashville Public Schools,645,Tusculum Elementary,787,*,*,,,,2020,,
190 0637,190,190,Metro Nashville Public Schools,637,Tulip Grove Elementary,547,*,*,,,,2020,,
190 0635,190,190,Metro Nashville Public Schools,635,Tom Joy Elementary,366,*,*,,,,2020,,
190 0633,190,190,Metro Nashville Public Schools,633,Thurgood Marshall Middle,964,*,*,,,,2020,,
190 0630,190,190,Metro Nashville Public Schools,630,Sylvan Park Elementary,426,*,*,,,,2020,,
190 0625,190,190,Metro Nashville Public Schools,625,Stratton Elementary,496,*,*,,,,2020,,
190 0622,190,190,Metro Nashville Public Schools,622,Madison Middle,565,*,*,,,,2020,,
190 0620,190,190,Metro Nashville Public Schools,620,Stratford STEM Magnet School,956,*,*,,,,2020,,
190 0618,190,190,Metro Nashville Public Schools,618,Robert Churchwell Elementary,300,*,*,,,,2020,,
190 0615,190,190,Metro Nashville Public Schools,615,Stanford Elementary,408,*,*,,,,2020,,
190 0614,190,190,Metro Nashville Public Schools,614,The Academy at Old Cockrill,63,*,*,,,,2020,,
190 0612,190,190,Metro Nashville Public Schools,612,The Academy at Opry Mills,44,*,*,,,,2020,,
190 0610,190,190,Metro Nashville Public Schools,610,Shwab Elementary,346,*,*,,,,2020,,
190 0608,190,190,Metro Nashville Public Schools,608,May Werthan Shayne Elementary School,765,*,*,,,,2020,,
190 0607,190,190,Metro Nashville Public Schools,607,Ruby Major Elementary,483,*,*,,,,2020,,
190 0600,190,190,Metro Nashville Public Schools,600,Rosebank Elementary,323,*,*,,,,2020,,
190 0595,190,190,Metro Nashville Public Schools,595,Rose Park Middle,442,*,*,,,,2020,,
190 0570,190,190,Metro Nashville Public Schools,570,Percy Priest Elementary,498,*,*,,,,2020,,
190 0565,190,190,Metro Nashville Public Schools,565,Pennington Elementary,292,*,*,,,,2020,,
190 0555,190,190,Metro Nashville Public Schools,555,Pearl-Cohn High,607,*,*,,,,2020,,
190 0545,190,190,Metro Nashville Public Schools,545,Park Avenue Elementary,338,*,*,,,,2020,,
190 0540,190,190,Metro Nashville Public Schools,540,Paragon Mills Elementary,604,*,*,,,,2020,,
190 0538,190,190,Metro Nashville Public Schools,538,William Henry Oliver Middle,974,*,*,,,,2020,,
190 0535,190,190,Metro Nashville Public Schools,535,Old Center Elementary,368,*,*,,,,2020,,
190 0525,190,190,Metro Nashville Public Schools,525,Norman Binkley Elementary,606,*,*,,,,2020,,
190 0515,190,190,Metro Nashville Public Schools,515,Neely's Bend Elementary,305,*,*,,,,2020,,
190 0512,190,190,Metro Nashville Public Schools,512,Nashville School Of The Arts,577,*,*,,,,2020,,
190 0510,190,190,Metro Nashville Public Schools,510,Napier Elementary,302,*,*,,,,2020,,
190 0505,190,190,Metro Nashville Public Schools,505,Murrell at Glenn School,44,*,*,,,,2020,,
190 0493,190,190,Metro Nashville Public Schools,493,Mt. View Elementary,697,*,*,,,,2020,,
190 0490,190,190,Metro Nashville Public Schools,490,John Trotwood Moore Middle,771,*,*,,,,2020,,
190 0480,190,190,Metro Nashville Public Schools,480,McMurray Middle,792,*,*,,,,2020,,
190 0470,190,190,Metro Nashville Public Schools,470,McGavock High,2285,*,*,,,,2020,,
190 0465,190,190,Metro Nashville Public Schools,465,McGavock Elementary,275,*,*,,,,2020,,
190 0456,190,190,Metro Nashville Public Schools,456,Martin Luther King Jr School,1277,*,*,,,,2020,,
190 0450,190,190,Metro Nashville Public Schools,450,Margaret Allen Middle,490,*,*,,,,2020,,
190 0445,190,190,Metro Nashville Public Schools,445,Maplewood High,777,*,*,,,,2020,,
190 0443,190,190,Metro Nashville Public Schools,443,Cora Howe School,81,*,*,,,,2020,,
190 0437,190,190,Metro Nashville Public Schools,437,Middle College High,182,*,*,,,,2020,,
190 0435,190,190,Metro Nashville Public Schools,435,Lockeland Elementary,294,*,*,,,,2020,,
190 0430,190,190,Metro Nashville Public Schools,430,Lakeview Elementary,559,*,*,,,,2020,,
190 0420,190,190,Metro Nashville Public Schools,420,Robert E. Lillard Elementary,232,*,*,,,,2020,,
190 0415,190,190,Metro Nashville Public Schools,415,Julia Green Elementary,445,*,*,,,,2020,,
190 0395,190,190,Metro Nashville Public Schools,395,John Overton High,2039,*,*,,,,2020,,
190 0393,190,190,Metro Nashville Public Schools,393,John F. Kennedy Middle,817,*,*,,,,2020,,
190 0390,190,190,Metro Nashville Public Schools,390,John B. Whitsitt Elementary,454,*,*,,,,2020,,
190 0387,190,190,Metro Nashville Public Schools,387,Jones Elementary,209,*,*,,,,2020,,
190 0386,190,190,Metro Nashville Public Schools,386,John Early Middle,305,*,*,,,,2020,,
190 0385,190,190,Metro Nashville Public Schools,385,Joelton Middle,301,*,*,,,,2020,,
190 0380,190,190,Metro Nashville Public Schools,380,Joelton Elementary,265,*,*,,,,2020,,
190 0375,190,190,Metro Nashville Public Schools,375,Jere Baxter Middle,278,*,*,,,,2020,,
190 0370,190,190,Metro Nashville Public Schools,370,J. E. Moss Elementary,759,*,*,,,,2020,,
190 0365,190,190,Metro Nashville Public Schools,365,Isaac Litton Middle,468,*,*,,,,2020,,
190 0360,190,190,Metro Nashville Public Schools,360,Inglewood Elementary,217,*,*,,,,2020,,
190 0358,190,190,Metro Nashville Public Schools,358,Hunters Lane High,1298,*,*,,,,2020,,
190 0355,190,190,Metro Nashville Public Schools,355,Hume - Fogg High,907,*,*,,,,2020,,
470 0355,470,470,Knox County,355,Hardin Valley Middle School,998,*,*,,,,2020,,
190 0350,190,190,Metro Nashville Public Schools,350,Hull-Jackson Elementary,437,*,*,,,,2020,,
470 0350,470,470,Knox County,350,Gibbs Middle School,599,*,*,,,,2020,,
470 0345,470,470,Knox County,345,Career Magnet Academy,260,*,*,,,,2020,,
190 0340,190,190,Metro Nashville Public Schools,340,Hillwood High,1099,*,*,,,,2020,,
470 0336,470,470,Knox County,336,Northshore Elementary School,1105,*,*,,,,2020,,
190 0335,190,190,Metro Nashville Public Schools,335,Hillsboro High,1201,*,*,,,,2020,,
470 0334,470,470,Knox County,334,L N STEM Academy,574,*,*,,,,2020,,
470 0332,470,470,Knox County,332,Dr. Paul L. Kelley Volunteer Academy,67,*,*,,,,2020,,
190 0330,190,190,Metro Nashville Public Schools,330,Meigs Middle,694,*,*,,,,2020,,
190 0327,190,190,Metro Nashville Public Schools,327,Hickman Elementary,461,*,*,,,,2020,,
190 0320,190,190,Metro Nashville Public Schools,320,Hermitage Elementary,299,*,*,,,,2020,,
470 0320,470,470,Knox County,320,Whittle Springs Middle School,534,*,*,,,,2020,,
190 0318,190,190,Metro Nashville Public Schools,318,Henry C. Maxwell Elementary,601,*,*,,,,2020,,
190 0315,190,190,Metro Nashville Public Schools,315,Head Middle,564,*,*,,,,2020,,
470 0315,470,470,Knox County,315,West View Elementary,207,*,*,,,,2020,,
470 0313,470,470,Knox County,313,West Valley Middle School,1196,*,*,,,,2020,,
190 0310,190,190,Metro Nashville Public Schools,310,Haywood Elementary,624,*,*,,,,2020,,
470 0310,470,470,Knox County,310,West Hills Elementary,761,*,*,,,,2020,,
190 0305,190,190,Metro Nashville Public Schools,305,Haynes Middle,218,*,*,,,,2020,,
470 0305,470,470,Knox County,305,West High School,1424,*,*,,,,2020,,
190 0302,190,190,Metro Nashville Public Schools,302,Harris-Hillman Special Education,696,*,*,,,,2020,,
190 0300,190,190,Metro Nashville Public Schools,300,Harpeth Valley Elementary,702,*,*,,,,2020,,
470 0300,470,470,Knox County,300,West Haven Elementary,354,*,*,,,,2020,,
792 0300,792,792,Shelby County,300,Belle Forest Community School,1119,*,*,,,,2020,,
190 0296,190,190,Metro Nashville Public Schools,296,East Nashville Middle,330,*,*,,,,2020,,
190 0295,190,190,Metro Nashville Public Schools,295,H. G. Hill Middle,701,*,*,,,,2020,,
470 0295,470,470,Knox County,295,Vine Middle/Magnet,500,*,*,,,,2020,,
190 0290,190,190,Metro Nashville Public Schools,290,Granbery Elementary,747,*,*,,,,2020,,
190 0285,190,190,Metro Nashville Public Schools,285,Gra-Mar Middle,361,*,*,,,,2020,,
470 0285,470,470,Knox County,285,Sterchi Elementary,371,*,*,,,,2020,,
190 0280,190,190,Metro Nashville Public Schools,280,Gower Elementary,602,*,*,,,,2020,,
330 0280,330,330,Hamilton County,280,STEM School Chattanooga,280,*,*,,,,2020,,
470 0280,470,470,Knox County,280,Spring Hill Elementary,505,*,*,,,,2020,,
190 0275,190,190,Metro Nashville Public Schools,275,Goodlettsville Middle,607,*,*,,,,2020,,
330 0275,330,330,Hamilton County,275,Hamilton County Virtual School,35,*,*,,,,2020,,
190 0270,190,190,Metro Nashville Public Schools,270,Goodlettsville Elementary,366,*,*,,,,2020,,
190 0265,190,190,Metro Nashville Public Schools,265,Glenview Elementary,637,*,*,,,,2020,,
330 0265,330,330,Hamilton County,265,Westview Elementary,614,*,*,,,,2020,,
470 0265,470,470,Knox County,265,South Knox Elementary,171,*,*,,,,2020,,
330 0260,330,330,Hamilton County,260,Wallace A. Smith Elementary,633,*,*,,,,2020,,
470 0260,470,470,Knox County,260,Shannondale Elementary,399,*,*,,,,2020,,
190 0255,190,190,Metro Nashville Public Schools,255,Glengarry Elementary,412,*,*,,,,2020,,
470 0255,470,470,Knox County,255,Sequoyah Elementary,540,*,*,,,,2020,,
190 0250,190,190,Metro Nashville Public Schools,250,Glendale Elementary,440,*,*,,,,2020,,
470 0250,470,470,Knox County,250,Sarah Moore Greene Magnet Technology Academy,567,*,*,,,,2020,,
190 0245,190,190,Metro Nashville Public Schools,245,Glencliff High School,1200,*,*,,,,2020,,
330 0245,330,330,Hamilton County,245,Woodmore Elementary,312,*,*,,,,2020,,
470 0245,470,470,Knox County,245,Sam E. Hill Primary School,238,*,*,,,,2020,,
330 0241,330,330,Hamilton County,241,Lookout Valley Elementary,304,*,*,,,,2020,,
190 0240,190,190,Metro Nashville Public Schools,240,Glencliff Elementary,604,*,*,,,,2020,,
330 0240,330,330,Hamilton County,240,Thrasher Elementary,566,*,*,,,,2020,,
330 0239,330,330,Hamilton County,239,Tyner Middle Academy,454,*,*,,,,2020,,
330 0237,330,330,Hamilton County,237,Tyner Academy,542,*,*,,,,2020,,
190 0235,190,190,Metro Nashville Public Schools,235,Gateway Elementary,213,*,*,,,,2020,,
330 0235,330,330,Hamilton County,235,Spring Creek Elementary,649,*,*,,,,2020,,
470 0235,470,470,Knox County,235,Rocky Hill Elementary,761,*,*,,,,2020,,
330 0230,330,330,Hamilton County,230,Soddy Elementary,490,*,*,,,,2020,,
750 0230,750,750,Rutherford County,230,Rocky Fork Middle School,767,*,*,,,,2020,,
330 0225,330,330,Hamilton County,225,Soddy Daisy Middle School,448,*,*,,,,2020,,
470 0225,470,470,Knox County,225,Ft Sanders Education Development  Center,380,*,*,,,,2020,,
750 0225,750,750,Rutherford County,225,Stewarts Creek High School,2014,*,*,,,,2020,,
820 0225,820,820,Sullivan County,225,Sullivan East Middle School,0,*,*,,,,2020,,
190 0220,190,190,Metro Nashville Public Schools,220,Fall-Hamilton Elementary,319,*,*,,,,2020,,
330 0220,330,330,Hamilton County,220,Soddy Daisy High School,1154,*,*,,,,2020,,
750 0220,750,750,Rutherford County,220,Stewarts Creek Middle School,901,*,*,,,,2020,,
820 0220,820,820,Sullivan County,220,Innovation Academy,125,*,*,,,,2020,,
330 0215,330,330,Hamilton County,215,Snow Hill Elementary,645,*,*,,,,2020,,
820 0215,820,820,Sullivan County,215,Ketron Elementary School,625,*,*,,,,2020,,
