Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
320 9999,320,320,Hamblen County,9999,District Average/Total,10224,9075.56,9075.56,37.02%,10.53%,52.45%,2020,,
330 9999,330,330,Hamilton County,9999,District Average/Total,44256,10849.8,10849.8,52.35%,10.66%,36.99%,2020,,
340 9999,340,340,Hancock County,9999,District Average/Total,918,10873.97,10873.97,19.19%,13.39%,67.42%,2020,,
350 9999,350,350,Hardeman County,9999,District Average/Total,3291,10582.35,10582.35,24.54%,12.75%,62.71%,2020,,
360 9999,360,360,Hardin County,9999,District Average/Total,3402,9494.58,9494.58,40.38%,12.99%,46.63%,2020,,
370 9999,370,370,Hawkins County,9999,District Average/Total,6398,9991.25,9991.25,30.45%,10.77%,58.78%,2020,,
371 9999,371,371,Rogersville,9999,District Average/Total,630,10277.93,10277.93,31.14%,8.97%,59.89%,2020,,
380 9999,380,380,Haywood County,9999,District Average/Total,2631,10879.66,10879.66,23.49%,15.95%,60.56%,2020,,
390 9999,390,390,Henderson County,9999,District Average/Total,3845,8922.31,8922.31,23.17%,13.41%,63.42%,2020,,
391 9999,391,391,Lexington,9999,District Average/Total,820,10221.79,10221.79,28.65%,9.60%,61.75%,2020,,
400 9999,400,400,Henry County,9999,District Average/Total,2947,9868.2,9868.2,37.31%,12.78%,49.90%,2020,,
401 9999,401,401,Paris,9999,District Average/Total,1551,9903.28,9903.28,36.20%,11.44%,52.36%,2020,,
410 9999,410,410,Hickman County,9999,District Average/Total,3288,9897.12,9897.12,17.36%,13.04%,69.60%,2020,,
420 9999,420,420,Houston County,9999,District Average/Total,1296,9480.49,9480.49,15.60%,11.56%,72.84%,2020,,
430 9999,430,430,Humphreys County,9999,District Average/Total,2837,8909.44,8909.44,28.76%,11.64%,59.60%,2020,,
440 9999,440,440,Jackson County,9999,District Average/Total,1370,10515.99,10515.99,19.03%,13.61%,67.35%,2020,,
450 9999,450,450,Jefferson County,9999,District Average/Total,6991,8860.66,8860.66,29.26%,10.71%,60.03%,2020,,
460 9999,460,460,Johnson County,9999,District Average/Total,1977,10413.56,10413.56,19.59%,16.26%,64.15%,2020,,
470 9999,470,470,Knox County,9999,District Average/Total,59922,9341.65,9341.65,48.77%,10.81%,40.43%,2020,,
480 9999,480,480,Lake County,9999,District Average/Total,703,11716.39,11716.39,18.25%,13.72%,68.03%,2020,,
490 9999,490,490,Lauderdale County,9999,District Average/Total,3704,10089.84,10089.84,20.76%,15.38%,63.85%,2020,,
500 9999,500,500,Lawrence County,9999,District Average/Total,6693,8731.98,8731.98,21.35%,12.98%,65.67%,2020,,
510 9999,510,510,Lewis County,9999,District Average/Total,1635,9389.77,9389.77,21.83%,13.02%,65.15%,2020,,
520 9999,520,520,Lincoln County,9999,District Average/Total,3776,8713.94,8713.94,26.43%,9.68%,63.89%,2020,,
521 9999,521,521,Fayetteville,9999,District Average/Total,1323,9948.68,9948.68,27.02%,11.65%,61.34%,2020,,
530 9999,530,530,Loudon County,9999,District Average/Total,4647,9298.47,9298.47,62.83%,5.92%,31.25%,2020,,
531 9999,531,531,Lenoir City,9999,District Average/Total,2365,9566.81,9566.81,45.29%,12.04%,42.66%,2020,,
540 9999,540,540,Mcminn County,9999,District Average/Total,5259,9088.18,9088.18,26.71%,15.61%,57.67%,2020,,
541 9999,541,541,Athens,9999,District Average/Total,1628,10082.87,10082.87,34.10%,15.34%,50.57%,2020,,
542 9999,542,542,Etowah,9999,District Average/Total,362,9315.48,9315.48,24.13%,18.02%,57.85%,2020,,
550 9999,550,550,Mcnairy County,9999,District Average/Total,3921,9128.6,9128.6,17.99%,12.42%,69.59%,2020,,
560 9999,560,560,Macon County,9999,District Average/Total,3915,8848.42,8848.42,17.69%,12.71%,69.60%,2020,,
570 9999,570,570,Madison County,9999,District Average/Total,12076,9835.33,9835.33,40.33%,15.42%,44.26%,2020,,
580 9999,580,580,Marion County,9999,District Average/Total,3905,8912.14,8912.14,29.04%,13.85%,57.11%,2020,,
581 9999,581,581,Richard City,9999,District Average/Total,255,8244.7,8244.7,54.58%,6.29%,39.13%,2020,,
590 9999,590,590,Marshall County,9999,District Average/Total,5370,8884.31,8884.31,29.96%,8.91%,61.12%,2020,,
600 9999,600,600,Maury County,9999,District Average/Total,12637,9217.96,9217.96,39.31%,9.75%,50.93%,2020,,
610 9999,610,610,Meigs County,9999,District Average/Total,1654,9834.31,9834.31,16.84%,14.31%,68.85%,2020,,
620 9999,620,620,Monroe County,9999,District Average/Total,5153,9379.75,9379.75,26.54%,12.77%,60.68%,2020,,
621 9999,621,621,Sweetwater,9999,District Average/Total,1389,8902.68,8902.68,25.36%,12.23%,62.41%,2020,,
630 9999,630,630,Montgomery County,9999,District Average/Total,35937,9582.93,9582.93,34.76%,9.53%,55.70%,2020,,
640 9999,640,640,Moore County,9999,District Average/Total,867,11321.87,11321.87,39.65%,8.54%,51.81%,2020,,
650 9999,650,650,Morgan County,9999,District Average/Total,2706,9919.61,9919.61,15.00%,17.39%,67.61%,2020,,
660 9999,660,660,Obion County,9999,District Average/Total,3157,9522.49,9522.49,29.46%,10.58%,59.96%,2020,,
661 9999,661,661,Union City,9999,District Average/Total,1544,10165.48,10165.48,50.51%,9.40%,40.08%,2020,,
670 9999,670,670,Overton County,9999,District Average/Total,3106,8515.79,8515.79,20.39%,12.98%,66.63%,2020,,
680 9999,680,680,Perry County,9999,District Average/Total,1004,10818.3,10818.3,22.17%,16.83%,61.00%,2020,,
690 9999,690,690,Pickett County,9999,District Average/Total,620,10500.27,10500.27,21.66%,14.17%,64.17%,2020,,
700 9999,700,700,Polk County,9999,District Average/Total,2174,9651.73,9651.73,20.44%,14.38%,65.18%,2020,,
710 9999,710,710,Putnam County,9999,District Average/Total,11441,8958.7,8958.7,33.92%,12.76%,53.31%,2020,,
720 9999,720,720,Rhea County,9999,District Average/Total,4148,9528.16,9528.16,26.51%,13.06%,60.43%,2020,,
721 9999,721,721,Dayton,9999,District Average/Total,828,9190.47,9190.47,21.62%,14.55%,63.84%,2020,,
730 9999,730,730,Roane County,9999,District Average/Total,6310,9855.51,9855.51,40.59%,10.03%,49.39%,2020,,
740 9999,740,740,Robertson County,9999,District Average/Total,12387,8456.65,8456.65,28.67%,9.41%,61.92%,2020,,
750 9999,750,750,Rutherford County,9999,District Average/Total,46855,9201.44,9201.44,41.41%,6.18%,52.40%,2020,,
751 9999,751,751,Murfreesboro,9999,District Average/Total,8724,10472.39,10472.39,43.44%,10.09%,46.47%,2020,,
760 9999,760,760,Scott County,9999,District Average/Total,2805,9255.45,9255.45,13.97%,15.01%,71.02%,2020,,
761 9999,761,761,Oneida,9999,District Average/Total,1217,9767.74,9767.74,18.52%,19.65%,61.84%,2020,,
770 9999,770,770,Sequatchie County,9999,District Average/Total,2136,8605.32,8605.32,23.92%,13.17%,62.91%,2020,,
780 9999,780,780,Sevier County,9999,District Average/Total,14381,10556.71,10556.71,65.55%,8.20%,26.26%,2020,,
792 9999,792,792,Shelby County,9999,District Average/Total,107420,11167.6,11167.6,42.78%,12.82%,44.40%,2020,,
793 9999,793,793,Arlington,9999,District Average/Total,4778,8881.33,8881.33,48.95%,4.91%,46.14%,2020,,
794 9999,794,794,Bartlett,9999,District Average/Total,8967,9806.37,9806.37,47.85%,7.21%,44.94%,2020,,
795 9999,795,795,Collierville,9999,District Average/Total,9055,10073.97,10073.97,49.72%,6.15%,44.13%,2020,,
796 9999,796,796,Germantown,9999,District Average/Total,6093,9366.84,9366.84,56.69%,4.00%,39.30%,2020,,
797 9999,797,797,Lakeland,9999,District Average/Total,1827,9263.19,9263.19,45.06%,4.91%,50.03%,2020,,
798 9999,798,798,Millington,9999,District Average/Total,2517,10472.04,10472.04,43.73%,11.80%,44.48%,2020,,
800 9999,800,800,Smith County,9999,District Average/Total,2968,9102,9102,22.73%,12.52%,64.75%,2020,,
810 9999,810,810,Stewart County,9999,District Average/Total,1961,9426.19,9426.19,20.78%,12.46%,66.76%,2020,,
820 9999,820,820,Sullivan County,9999,District Average/Total,8973,9641.31,9641.31,44.05%,10.53%,45.42%,2020,,
821 9999,821,821,Bristol,9999,District Average/Total,3902,10681.28,10681.28,50.97%,8.47%,40.55%,2020,,
822 9999,822,822,Kingsport,9999,District Average/Total,7365,10966.15,10966.15,53.00%,8.98%,38.02%,2020,,
830 9999,830,830,Sumner County,9999,District Average/Total,29935,9177.85,9177.85,39.59%,7.14%,53.27%,2020,,
840 9999,840,840,Tipton County,9999,District Average/Total,10306,8595.62,8595.62,20.55%,9.77%,69.69%,2020,,
850 9999,850,850,Trousdale County,9999,District Average/Total,1291,9270.95,9270.95,22.04%,11.90%,66.06%,2020,,
860 9999,860,860,Unicoi County,9999,District Average/Total,2188,10045.1,10045.1,21.06%,15.41%,63.53%,2020,,
870 9999,870,870,Union County,9999,District Average/Total,4705,7880.11,7880.11,11.76%,11.40%,76.83%,2020,,
880 9999,880,880,Van Buren County,9999,District Average/Total,714,11711.83,11711.83,20.28%,11.83%,67.90%,2020,,
890 9999,890,890,Warren County,9999,District Average/Total,6288,9377.83,9377.83,30.53%,12.19%,57.28%,2020,,
900 9999,900,900,Washington County,9999,District Average/Total,8365,8705.16,8705.16,43.91%,8.70%,47.39%,2020,,
901 9999,901,901,Johnson City,9999,District Average/Total,7908,10136.04,10136.04,54.60%,7.56%,37.84%,2020,,
910 9999,910,910,Wayne County,9999,District Average/Total,2071,10070.78,10070.78,14.62%,14.38%,71.00%,2020,,
920 9999,920,920,Weakley County,9999,District Average/Total,3951,9157.49,9157.49,23.85%,13.13%,63.01%,2020,,
930 9999,930,930,White County,9999,District Average/Total,3771,8995.1,8995.1,19.44%,14.50%,66.06%,2020,,
940 9999,940,940,Williamson County,9999,District Average/Total,40674,9736.67,9736.67,69.25%,2.82%,27.93%,2020,,
941 9999,941,941,Franklin,9999,District Average/Total,3483,15582.2,15582.2,71.08%,4.75%,24.17%,2020,,
950 9999,950,950,Wilson County,9999,District Average/Total,18685,8348.47,8348.47,64.80%,3.44%,31.76%,2020,,
951 9999,951,951,Lebanon,9999,District Average/Total,3788,9038.52,9038.52,67.70%,4.51%,27.79%,2020,,
985 9999,985,985,Asd,9999,District Average/Total,10764,11297.9,11297.9,1.97%,16.79%,81.24%,2020,,
986 9999,986,986,State Board Of Education,9999,District Average/Total,841,7439.19,7439.19,8.58%,9.17%,82.25%,2020,,
000 9999,0,0,State,9999,District Average/Total,980533,9998.224323,9998.224323,43.09%,10.09%,46.83%,2020,,
792 8380,792,792,Shelby County,8380,Memphis Merit Academy,113,*,*,,,,2020,,
792 8370,792,792,Shelby County,8370,Compass Community School Orange Mound Campus,167,*,*,,,,2020,,
792 8365,792,792,Shelby County,8365,Compass Community School Midtown Campus,261,*,*,,,,2020,,
792 8360,792,792,Shelby County,8360,Compass Community School Hickory Hill Campus,219,*,*,,,,2020,,
792 8355,792,792,Shelby County,8355,Freedom Preparatory Academy Charter Schools,261,*,*,,,,2020,,
792 8350,792,792,Shelby County,8350,Believe Memphis Academy Charter School,193,*,*,,,,2020,,
792 8345,792,792,Shelby County,8345,Perea Elementary School,131,*,*,,,,2020,,
792 8340,792,792,Shelby County,8340,Memphis Business Academy Hickory Hill Elementary School,172,*,*,,,,2020,,
792 8335,792,792,Shelby County,8335,Memphis Business Academy Hickory Hill Middle School,62,*,*,,,,2020,,
792 8325,792,792,Shelby County,8325,Crosstown High School,278,*,*,,,,2020,,
792 8320,792,792,Shelby County,8320,Southwest Early College High School,154,*,*,,,,2020,,
792 8315,792,792,Shelby County,8315,Power Center Academy Elementary - Southeast,183,*,*,,,,2020,,
792 8310,792,792,Shelby County,8310,Memphis School of Excellence Elementary,285,*,*,,,,2020,,
792 8300,792,792,Shelby County,8300,Kaleidoscope School of Memphis,89,*,*,,,,2020,,
792 8285,792,792,Shelby County,8285,Leadership Preparatory Charter School,319,*,*,,,,2020,,
792 8280,792,792,Shelby County,8280,Granville T. Woods Academy of Innovation Charter School,414,*,*,,,,2020,,
792 8275,792,792,Shelby County,8275,The Excel Center,386,*,*,,,,2020,,
792 8270,792,792,Shelby County,8270,Power Center Academy Elementary School,799,*,*,,,,2020,,
