index,district_name,longitude,latitude,percent_retained,score_achievement,pct_chronically_absent_2020
0,Shelby County Schools,-89.92426,35.048455,71.7861111111111,1.896527777777778,19.52847222222222
144,Metro Nashville Public Schools,-86.77317,36.215534999999996,66.79256198347106,1.8123966942148764,15.899173553719013
265,Achievement School District,-90.00646,35.223796,57.857894736842105,1.1157894736842107,28.747368421052634
284,Bristol City Schools,-82.16869,36.561341,80.87142857142858,2.9714285714285715,9.314285714285715
291,Hamilton County Schools,-85.31407,35.002342,76.64464285714287,2.6410714285714283,12.903571428571436
347,Robertson County Schools,-86.86891999999999,36.513979,81.87647058823529,2.2411764705882358,10.941176470588237
364,West Carroll Special School District,-88.61825,36.016599,62.7,1.95,9.5
366,Clarksville-Montgomery County School System,-87.4056,36.58068,79.60312499999999,2.8874999999999997,10.103125
398,Humboldt City Schools,-88.90218,35.825299,64.35,0.9,14.05
400,Anderson County Schools,-84.14656,36.099283,73.74285714285715,2.614285714285714,15.907142857142858
414,Jackson-Madison County Schools,-88.81959,35.60758,75.81764705882354,1.5117647058823527,18.200000000000003
431,Sevier County School System,-83.61374,35.97555,82.63636363636364,2.4045454545454543,18.3
453,Gibson County Special School District,-89.01767,36.073575,75.55000000000001,3.216666666666667,8.100000000000001
459,Knox County Schools,-84.1182,35.976063,82.25753424657535,2.360273972602739,16.154794520547938
532,Blount County Schools,-83.93590999999999,35.781607,84.43684210526315,2.5894736842105264,12.757894736842104
551,Fayette County Schools,-89.32907,35.275036,71.01666666666667,2.433333333333333,11.450000000000001
557,Maury County Schools,-87.03565,35.619784,79.61666666666666,2.088888888888889,14.633333333333333
575,Hawkins County Schools,-82.71292,36.534489,85.65625000000001,2.3375,14.4875
591,Williamson County Schools,-86.90734,35.79867,78.72000000000001,3.5333333333333337,8.139999999999999
606,Millington Municipal School District,-89.90668000000001,35.347965,80.125,2.275,14.775000000000002
610,Sumner County Schools,-86.51355,36.576137,83.1891891891892,2.929729729729729,10.313513513513515
647,Murfreesboro City Schools,-86.3648,35.860152,76.6,2.5500000000000003,9.537500000000001
655,Washington County Schools,-82.6744,36.21503,81.94166666666666,2.9416666666666664,13.1
667,Tennessee State Board of Education,-90.07523,35.050286,66.7,1.7,34.7
668,Collierville Municipal School District,-89.67416999999999,35.057224,83.91666666666667,3.6,6.316666666666667
674,Union County Schools,-83.82558,36.251265000000004,85.08571428571427,1.6285714285714286,14.22857142857143
681,Smith County School District,-85.94893,36.264959000000005,81.4,2.7,8.84
686,Grundy County Schools,-85.70288000000001,35.361678000000005,83.35,2.3,8.375
690,Haywood County Schools,-89.2609,35.590558,72.4,1.8,17.65
692,Rutherford County Schools,-86.3648,35.860152,80.17894736842105,2.4578947368421056,8.563157894736843
711,Hickman County Schools,-87.31395,35.882639000000005,78.38333333333334,1.7666666666666668,12.950000000000001
717,Fayetteville City Schools,-86.57433,35.136177,81.56666666666666,1.7333333333333334,13.200000000000001
720,Perry County Schools,-87.87486,35.61432,83.60000000000001,1.9333333333333336,26.366666666666664
723,Milan Special School District,-88.76628000000001,35.916722,80.1,2.766666666666667,7.2
726,Lake County School System,-89.48640999999999,36.224429,80.7,1.6333333333333335,26.433333333333334
729,Macon County Schools,-86.01496999999999,36.537994,89.64,1.8599999999999999,10.06
734,Hancock County Schools,-83.22818000000001,36.521297,80.7,0.7,15.75
736,Sullivan County Schools,-82.16869,36.561341,86.27777777777777,2.2777777777777777,13.81111111111111
754,South Carroll County Special School District,-88.39343000000001,35.867453999999995,73.1,2.6,7.3
755,Trenton Special School District,-88.95035,35.973431,81.5,1.7333333333333334,9.200000000000001
758,Cumberland County Schools,-85.0902,35.861810999999996,85.49090909090908,2.5454545454545454,15.454545454545457
769,Monroe County Schools,-84.27728,35.345237,86.04,1.8400000000000003,15.66
779,White County Schools,-85.45113,35.943026,83.82857142857144,2.228571428571428,9.4
786,Bedford County Schools,-86.45974,35.470659999999995,85.87692307692306,1.9923076923076926,13.130769230769232
799,Lauderdale County Schools,-89.86859,35.637993,79.5,1.94,13.2
804,Cheatham County School District,-87.0285,36.393153000000005,83.9,2.658333333333333,13.733333333333333
816,Greene County Schools,-82.85446,36.102325,85.43571428571428,2.4071428571428575,10.72857142857143
830,Fentress County Schools,-84.73614,36.392571000000004,82.12,2.52,13.16
835,Wilson County School District,-86.49732,36.195015999999995,84.33000000000001,2.66,10.670000000000002
845,Morgan County Schools,-84.36685,36.045663,76.95,0.4,12.65
847,Kingsport City Schools,-82.55408,36.547133,87.09,3.2299999999999995,13.98
857,Wayne County Schools,-87.77263,35.187869,89.11428571428571,2.1142857142857143,14.657142857142858
864,Campbell County Schools,-84.08164000000001,36.388766,82.15,2.0166666666666666,19.150000000000002
876,Bartlett Municipal School District,-89.80518000000001,35.208709000000006,85.44285714285715,3.3142857142857145,7.357142857142857
883,Tipton County Schools,-89.64201,35.560621999999995,86.8923076923077,2.9000000000000004,10.23076923076923
896,Dickson County School District,-87.29179,36.225389,83.72500000000001,2.8166666666666664,8.683333333333334
908,Dyersburg City Schools,-89.38613000000001,36.038042,82.44999999999999,2.9000000000000004,8.350000000000001
910,Hardeman County Schools,-89.15508,35.35001,87.3375,1.7750000000000001,8.162500000000001
918,Lawrence County Schools,-87.33748,35.43506,85.98181818181817,2.7272727272727275,11.154545454545454
929,Sweetwater City Schools,-84.46613,35.598659000000005,78.75,1.8499999999999999,7.6000000000000005
931,Warren County School District,-85.787,35.687286,88.52857142857142,1.957142857142857,10.042857142857144
