district_name,school_name,zipcode,longitude,latitude,pct_chronically_absent_2020,percent_ca2019,percent_ca_2018,admin,teacher,percent_retained,pool,score_achievement,score_growth,score_absenteeism,students_total_2020,enrollment_2019,enrollment_2018
Perry County Schools,Linden Middle School,37096,-87.87486,35.61432,18.9,7.7,8.4,2,16,70,K8,1.2,0.7,3.4,241,261,225
Shelby County Schools,Bolton High,38002,-89.71198,35.272386,26.3,28,14,3,62,70,HS,1.1,0.4,0.7,864,912,1051
Shelby County Schools,Raleigh-Egypt High,38128,-89.92588,35.219882,25.4,34.1,29.9,5,71,70.4,HS,1.1,2.9,0.9,713,1006,1020
Shelby County Schools,Granville T. Woods Academy of Innovation Charter School,38128,-89.92588,35.219882,9.7,24.2,6.5,2,25,70.4,K8,2.8,2.1,0,451,417,468
Metro Nashville Public Schools,Glencliff Elementary,37211,-86.72584,36.079259,11.7,9.2,17.3,2,42,70.5,K8,0.9,3.8,4,692,515,489
Clarksville-Montgomery County School System,Moore Magnet Elementary,37040,-87.34142,36.528448,9.6,7.5,7.1,2,35,70.5,K8,2.5,0.5,2.9,552,492,480
Metro Nashville Public Schools,Cockrill Elementary,37209,-86.8559,36.151324,18.1,13.9,16.7,1,28,70.6,K8,1.2,2.8,3.8,361,288,302
Milan Special School District,Milan High School,38358,-88.76628,35.916722,8,8.7,8.8,2,42,70.6,HS,2.6,1.9,4,637,621,652
Hamilton County Schools,Battle Academy For Teaching  Learning,37402,-85.31199,35.046324,8.5,8.3,11.9,2,26,70.6,K8,1.8,0,4,423,375,362
Shelby County Schools,Treadwell Middle School,38122,-89.92315,35.155589,19.8,23.7,15.3,2,31,70.6,K8,2,4,0.5,680,484,469
Hamilton County Schools,Ooltewah High School,37363,-85.06005,35.087881,9.9,18.1,17.2,5,94,70.7,HS,1.7,0.3,2.5,1599,1566,1556
Clarksville-Montgomery County School System,Ringgold Elementary,37042,-87.4056,36.58068,8.5,6.7,9.3,2,60,70.8,K8,3,3.9,3.9,886,787,831
Metro Nashville Public Schools,RePublic High School,37207,-86.77317,36.215535,20.9,31.3,2.9,1,38,71,K8,0.4,0.2,0,810,666,484
Sevier County School System,Northview Intermediate School,37764,-83.61374,35.97555,18.7,19.5,19.4,2,25,71,K8,1.9,0.5,2.4,426,375,419
Shelby County Schools,Promise Academy,38108,-89.96028,35.174165,20.9,4.1,0.5,2,20,71,K8,2.2,0,4,379,365,396
Hamilton County Schools,Tyner Academy,37421,-85.15939,35.028574,20.4,25.8,35.2,2,41,71.1,HS,1.4,3.6,3.7,564,522,541
Lake County School System,Lara Kendall Elementary,38080,-89.48641,36.224429,22.3,14.8,17.8,2,31,71.1,K8,1,2,3.6,373,308,334
Hamilton County Schools,Ooltewah Middle School,37363,-85.06005,35.087881,12,14.3,9.9,3,51,71.2,K8,1.8,0.4,1.4,875,822,746
Rutherford County Schools,Blackman Middle School,37128,-86.4455,35.813319,6.6,8.4,5.1,4,88,71.3,K8,2.6,1,2.7,1685,1489,1398
Knox County Schools,Vine Middle/Magnet,37915,-83.90149,35.97125,28,27.5,34.5,7,38,71.4,K8,0.3,0.5,3.7,591,479,339
Macon County Schools,Lafayette Elementary School,37083,-86.01497,36.537994,6.1,9.3,7.1,1,21,71.4,K8,2.3,1.3,2.3,438,421,424
Robertson County Schools,Greenbrier Middle School,37073,-86.81023,36.427758,7.9,6.5,8.4,2,39,71.4,K8,1.8,1.7,3.7,654,637,651
Sumner County Schools,Vena Stuart Elementary,37066,-86.4548,36.388997,14.1,13.9,11.1,2,52,71.4,K8,2.8,2.9,1.6,766,673,630
Metro Nashville Public Schools,Henry C. Maxwell Elementary,37013,-86.64782,36.055115,10,12,13.2,2,46,71.7,K8,2,3,2.8,680,544,596
Metro Nashville Public Schools,Hickman Elementary,37214,-86.66869,36.166956,13.4,11.4,15.7,1,41,71.7,K8,0.9,0.8,4,516,459,473
Metro Nashville Public Schools,John Trotwood Moore Middle,37204,-86.77626,36.112058,11.9,13.1,13.3,3,41,71.7,K8,2.9,0.6,2.1,954,762,670
Hamilton County Schools,Middle Valley Elementary,37343,-85.21158,35.167987,6.5,6.3,5.3,3,51,71.7,K8,3.6,3.6,2.9,815,809,804
Metro Nashville Public Schools,McMurray Middle,37211,-86.72584,36.079259,6.9,6.8,14.2,3,59,71.8,K8,1.2,4,4,1049,794,803
Hancock County Schools,Hancock High School,37869,-83.22818,36.521297,20.2,20.1,21.9,2,42,71.9,HS,1,1.4,3.2,519,521,513
Knox County Schools,West Haven Elementary,37921,-83.97413,35.973731,13.1,16.1,13,2,28,71.9,K8,2,0.5,1.5,361,323,336
Clarksville-Montgomery County School System,West Creek Middle,37042,-87.4056,36.58068,7.6,6.8,7.5,4,72,72,K8,2.4,1.1,3.1,1493,1325,1221
Metro Nashville Public Schools,John F. Kennedy Middle,37013,-86.64782,36.055115,14.3,11.9,15.7,4,53,72.1,K8,1.1,0.2,3.8,1097,794,782
Hamilton County Schools,Brainerd High School,37411,-85.2333,35.023824,47.9,51.2,53.5,4,53,72.1,HS,1.3,1.1,2.4,733,616,617
Knox County Schools,Inskip Elementary,37912,-83.97962,36.008048,19.5,16.2,16.8,2,41,72.1,K8,1.3,0.5,2.6,642,511,549
Humboldt City Schools,East Elementary School,38343,-88.90218,35.825299,11.1,9.3,7.2,1,27,72.2,K8,0,0.3,2.3,517,440,466
Hickman County Schools,Centerville Intermediate School,37033,-87.49418,35.76714,9.6,5.5,6.4,2,25,72.2,K8,2.2,0.3,3.9,365,362,377
Maury County Schools,Mt. Pleasant Middle Visual Perform. Arts,38474,-87.22342,35.52478,15.4,15.5,14.2,2,31,72.2,K8,1.1,0.2,2.1,497,479,464
Shelby County Schools,Sheffield High,38118,-89.92426,35.048455,22.8,32.3,39.9,3,45,72.2,HS,1.8,2,4,735,668,757
Knox County Schools,Carter Middle School,37871,-83.67934,36.04051,22.8,24.1,24.5,3,47,72.3,K8,2,3,2.3,707,663,793
Metro Nashville Public Schools,Goodlettsville Elementary,37072,-86.71879,36.35465,10.4,8.4,12.7,1,24,72.4,K8,2.6,2.1,3.9,401,313,318
Hamilton County Schools,Woodmore Elementary,37411,-85.2333,35.023824,8.8,13.4,14.8,2,25,72.4,K8,1.8,3,2.7,306,288,271
Fayette County Schools,Fayette Ware Comprehensive High School,38068,-89.32907,35.275036,18.7,18.8,12.8,7,57,72.7,HS,2.6,3.9,1.9,887,896,892
Fayette County Schools,Southwest Elementary,38048,-89.481362,35.15066,6.1,10.2,9.6,2,19,72.7,K8,3.2,2.6,2.5,254,225,250
Knox County Schools,Halls High School,37938,-83.93785,36.113552,19,19.1,22.1,4,76,72.7,HS,1.3,2.9,4,1358,1284,1258
Knox County Schools,Pond Gap Elementary,37909,-84.01554,35.947846,20.2,17.2,20,2,32,72.7,K8,2,2.1,3.7,432,312,337
Sullivan County Schools,Emmett Elementary,37620,-82.16869,36.561341,12.5,11.9,16.4,1,28,72.7,K8,1.6,2,4,352,316,324
Blount County Schools,Mary Blount Elementary,37801,-84.05015,35.709071,13.3,7.7,4.3,2,40,72.9,K8,3.2,3.7,2.6,577,538,520
Hamilton County Schools,The Howard School,37408,-85.31004,35.030907,36.4,43.7,52.1,4,72,72.9,HS,1,0.3,4,1216,1006,945
Hamilton County Schools,Red Bank Middle School,37415,-85.28466,35.116285,11.1,19.3,23.3,2,41,72.9,K8,3.3,4,3.7,643,594,587
West Carroll Special School District,West Carroll Junior/Senior High School,38220,-88.66966,35.98269,10.9,8.1,5,2,35,73,HS,2,0.5,4,467,443,430
Hamilton County Schools,Tyner Middle Academy,37421,-85.15939,35.028574,13.9,15,16.4,2,30,73,K8,2.1,3.7,3,494,469,437
Washington County Schools,West View School,37681,-82.62095,36.246547,13.3,10.5,10,3,30,73,K8,3,3.7,2.8,445,418,433
Anderson County Schools,Norwood Elementary,37840,-84.36685,36.045663,16.1,9.2,13.3,1,18,73.1,K8,2,2.8,3.6,268,230,227
South Carroll County Special School District,Clarksburg School,38324,-88.39343,35.867454,7.3,4.2,5.6,2,25,73.1,K8,2.6,0.8,4,346,333,339
Shelby County Schools,Trezevant High,38127,-90.00646,35.223796,46.1,60.9,40.3,3,37,73.1,HS,0.9,0,0,593,554,544
Achievement School District,Promise Academy - Spring Hill,38128,-89.92588,35.219882,10.6,9.1,7.9,2,25,73.1,K8,0,0.3,2.4,412,412,336
Metro Nashville Public Schools,Goodlettsville Middle,37072,-86.71879,36.35465,11.7,14.6,15.7,3,36,73.2,K8,1.1,0.2,2.9,786,627,571
Shelby County Schools,Winridge Elementary,38115,-89.86291,35.057311,5,14,5.3,2,35,73.2,K8,1.4,1.3,1.3,586,507,502
Metro Nashville Public Schools,Ruby Major Elementary,37076,-86.60111,36.180507,11.2,13.7,13.3,2,37,73.3,K8,3,3.9,2.5,552,466,527
Trenton Special School District,Trenton Middle School,38382,-88.95035,35.973431,9.4,12.6,7,2,24,73.3,K8,1.6,0.3,1.7,417,417,379
Knox County Schools,Pleasant Ridge Elementary,37921,-83.97413,35.973731,13.5,10,9.7,2,25,73.3,K8,0.8,2.9,2,349,329,358
Knox County Schools,South Knox Elementary,37920,-83.89042,35.923517,20,12.4,17.2,1,14,73.3,K8,2.6,1,4,182,137,124
Metro Nashville Public Schools,Hillsboro High,37215,-86.82522,36.098408,22.5,23.6,27.6,5,66,73.4,HS,1.9,0.2,3.6,1380,1211,1211
Cumberland County Schools,Homestead Elementary School,38572,-85.0902,35.861811,8.8,5.5,10.3,2,43,73.6,K8,2.8,3.1,4,714,698,692
Metro Nashville Public Schools,Cole Elementary,37013,-86.64782,36.055115,6.1,6.5,10.5,4,61,73.6,K8,1.8,2.1,4,802,671,720
Shelby County Schools,Chimneyrock Elementary School,38016,-89.776835,35.177475,7.2,7.9,7,3,61,73.6,K8,2.6,3.4,3,1066,906,917
Metro Nashville Public Schools,Robert Churchwell Elementary,37208,-86.80252,36.174806,17.6,20.1,20.3,2,26,73.7,K8,3,4,2.3,340,284,326
Hamilton County Schools,Lakeside Academy,37416,-85.18152,35.089805,5.8,5.4,4.8,2,30,73.7,K8,3.8,3.9,3.8,428,396,401
Monroe County Schools,Rural Vale Elementary,37385,-84.27728,35.345237,9.4,11.4,13.4,1,16,73.7,K8,1.6,0.8,4,231,244,251
Sumner County Schools,Westmoreland Elementary,37186,-86.23954,36.579247,8.1,10,11.4,1,37,73.7,K8,3.6,2.1,4,535,524,506
White County Schools,Woodland Park Elementary,38583,-85.45113,35.943026,10.1,9.8,7,2,35,73.7,K8,1.4,2.9,2.1,483,450,458
Bedford County Schools,Harris Middle School,37160,-86.45974,35.47066,15.3,14.9,16,3,57,73.8,K8,1.1,2.2,3.2,1158,1048,1031
Sevier County School System,Seymour Junior High,37865,-83.74476,35.853932,15.5,18.9,18.7,4,43,73.8,K8,3,3.6,2,838,767,592
Shelby County Schools,Egypt Elementary,38128,-89.92588,35.219882,13.4,12.9,8.5,1,36,73.8,K8,1.3,0.1,2.3,594,507,535
Shelby County Schools,Ford Road Elementary,38109,-90.07523,35.050286,26.2,8.4,11.7,2,39,73.8,K8,0.2,0.4,3.6,632,524,547
Shelby County Schools,Keystone Elementary,38128,-89.92588,35.219882,23.8,18.5,17.1,2,35,73.8,K8,1.3,0.5,2.4,483,460,480
Hamilton County Schools,Alpine Crest Elementary,37415,-85.28466,35.116285,5.7,4.7,8.6,1,18,73.9,K8,2.8,3.8,4,310,295,274
Jackson-Madison County Schools,Rose Hill School,38301,-88.81959,35.60758,13.3,12.2,15.8,2,42,73.9,K8,0.3,0.3,3.9,645,552,544
Shelby County Schools,A. Maceo Walker Middle,38116,-90.01128,35.03319,28,32.6,21.6,3,41,73.9,K8,1.2,2.3,0.3,1004,740,687
Achievement School District,Aspire Coleman,38128,-89.92588,35.219882,25,22.3,20.4,3,35,73.9,K8,0,0.1,1.4,724,612,568
Metro Nashville Public Schools,Tusculum Elementary,37211,-86.72584,36.079259,8.3,8.8,11.8,3,65,74,K8,2.3,3.9,4,929,672,715
Lauderdale County Schools,Ripley Middle School,38063,-89.86859,35.637993,12.9,9.5,10.4,4,41,74,K8,1.3,0,3.1,646,630,630
Cheatham County School District,Sycamore High School,37146,-87.0285,36.393153,21.2,19.2,22.1,2,46,74.1,HS,3,0.8,3.5,789,709,727
Greene County Schools,Nolachuckey Elementary,37743,-82.85446,36.102325,7.3,4.9,3.5,1,22,74.1,K8,3,1.4,3.4,359,310,319
Jackson-Madison County Schools,Lincoln Elementary School,38301,-88.81959,35.60758,35.2,29.7,30.9,1,22,74.1,K8,1.2,1.9,2.4,411,350,348
Shelby County Schools,Alton Elementary,38106,-90.04017,35.103019,19.9,14,8.2,1,23,74.1,K8,2,2,1.2,354,278,259
Hamilton County Schools,East Ridge High School,37412,-85.23748,34.996674,25.4,27.9,33,3,56,74.2,HS,2.7,3.6,3.6,898,846,827
Maury County Schools,Whitthorne Middle School,38401,-87.03565,35.619784,19.2,17.3,14.6,4,70,74.2,K8,1,0.2,1.3,1147,1093,1042
Shelby County Schools,Jackson Elementary,38108,-89.96028,35.174165,16,6.6,7.7,1,26,74.2,K8,2.1,1.1,4,337,299,321
Fentress County Schools,Allardt Elementary,38504,-84.73614,36.392571,7.7,4.6,8.7,2,24,74.3,K8,3.2,1.4,4,383,363,394
Shelby County Schools,Lucy Elementary,38053,-89.90668,35.347965,9.2,6.8,5.5,1,28,74.3,K8,1,0.1,3,411,379,388
Metro Nashville Public Schools,Dan Mills Elementary,37216,-86.72594,36.213004,5.2,7.2,6,2,40,74.4,K8,3.2,3.7,2.7,576,511,502
Metro Nashville Public Schools,LEAD Southeast,37211,-86.72584,36.079259,5.3,3.5,2.8,3,47,74.5,K8,1.8,4,3.8,912,706,616
Jackson-Madison County Schools,Thelma Barker Elementary,38305,-88.80653,35.693101,10.3,7.8,9.5,3,47,74.6,K8,2,0.1,3.8,805,740,776
Wilson County School District,West Wilson Middle School,37122,-86.49732,36.195016,8.8,9.2,11.5,5,80,74.7,K8,3.2,3.1,3.9,1128,1408,1300
Anderson County Schools,Dutch Valley Elementary,37716,-84.14656,36.099283,24.5,11.9,14.3,1,8,75,K8,2,1.4,4,122,101,106
Metro Nashville Public Schools,Donelson Middle,37214,-86.66869,36.166956,13.5,12.9,14.6,3,55,75,K8,1,3.5,3,1017,774,761
Metro Nashville Public Schools,Tulip Grove Elementary,37076,-86.60111,36.180507,13.5,10.1,13.6,2,39,75,K8,2.1,2.9,4,595,447,481
Metro Nashville Public Schools,Smith Springs Elementary School,37013,-86.64782,36.055115,7.7,9,13.5,2,44,75,K8,2.7,3.8,4,657,551,539
Fayette County Schools,La Grange Moscow Elementary,38057,-89.37347,35.055545,9.9,15.2,14.2,3,18,75,K8,2.6,3.7,2.6,258,264,247
Fayette County Schools,Oakland Elementary,38060,-89.5034,35.214462,10,14.3,12.8,3,57,75,K8,4,3.9,1.9,704,617,625
Hamilton County Schools,Lookout Valley Middle / High School,37419,-85.37276,35.031674,9.6,9.2,15.6,2,28,75,HS,2,2,4,363,342,352
Lauderdale County Schools,Halls Junior High School,38040,-89.41989,35.879497,10.9,9.5,10.9,2,14,75,K8,2,0.5,3.8,235,202,185
Maury County Schools,Marvin Wright Elementary School,37174,-86.91144,35.73062,5.7,10.3,8.5,2,44,75,K8,4,0.6,2.3,566,674,670
Maury County Schools,R Howell Elementary,38401,-87.03565,35.619784,21.3,13.7,15.2,2,46,75,K8,1.2,2,3.4,506,557,577
Clarksville-Montgomery County School System,West Creek Elementary,37042,-87.4056,36.58068,7.3,4.6,4.1,3,60,75,K8,3.5,1.3,3.8,1032,855,837
Morgan County Schools,Petros Joyner Elementary,37840,-84.36685,36.045663,15.4,8.9,9,1,13,75,K8,0,0.4,3.4,167,153,153
Shelby County Schools,KIPP Memphis Collegiate High School,38108,-89.96028,35.174165,26.2,31.2,11.7,1,28,75,HS,1.9,0.6,0.3,500,488,515
Kingsport City Schools,Theodore Roosevelt Elementary School,37660,-82.55408,36.547133,21.9,20.5,18.6,2,24,75,K8,2.8,3.9,2.1,315,264,277
Wayne County Schools,Collinwood High School,38450,-87.77263,35.187869,23,29.4,23.6,2,18,75,HS,2,2.6,1.4,276,286,297
Williamson County Schools,Renaissance High School,37064,-86.89919,35.893823,11.6,11.3,15.9,1,13,75,HS,4,0.8,4,185,166,157
Knox County Schools,South Doyle Middle School,37920,-83.89042,35.923517,18.5,16.4,19.3,7,70,75.3,K8,1.9,2.3,3.9,977,912,1013
Clarksville-Montgomery County School System,Barkers Mill Elementary,37042,-87.4056,36.58068,7.4,7.2,8.6,3,69,75.3,K8,3.2,0.4,3.9,1109,981,1007
Rutherford County Schools,LaVergne Middle School,37086,-86.56268,36.01333,9,9.3,13.1,3,76,75.3,K8,2.7,4,4,1278,1115,1072
Murfreesboro City Schools,Mitchell-Neilson Elementary,37129,-86.42425,35.896645,16.1,12.4,14,3,52,75.4,K8,2.7,3.5,3.2,802,691,704
Shelby County Schools,Highland Oaks Elementary,38125,-89.80329,35.035466,12.2,5.5,6.1,2,56,75.4,K8,2.9,2.8,4,908,783,846
Campbell County Schools,LaFollette Elementary School,37766,-84.08164,36.388766,20.8,15.9,25,2,41,75.5,K8,1,1.9,4,613,553,594
Knox County Schools,Christenberry Elementary,37917,-83.91859,35.991982,15,15.9,16.4,3,49,75.5,K8,3.1,3.9,2.7,542,475,533
Bartlett Municipal School District,Appling Middle School,38133,-89.80518,35.208709,6.7,9.7,10,3,39,75.5,K8,3.7,2.2,2.3,696,700,713
Metro Nashville Public Schools,Charlotte Park Elementary,37209,-86.8559,36.151324,10.6,10.5,9,2,37,75.6,K8,2.1,2,2.1,558,429,402
Metro Nashville Public Schools,Waverly-Belmont Elementary School,37204,-86.77626,36.112058,9.7,9.4,12,2,38,75.6,K8,3.2,1.7,3.7,568,526,472
Hamilton County Schools,East Hamilton School,37363,-85.06005,35.087881,10.1,16.5,21.2,5,109,75.6,HS,3.7,3.8,4,1680,1723,1757
Haywood County Schools,Haywood Middle School,38037,-89.41497,35.82036,16.1,14.4,21.9,3,38,75.6,K8,1,2.9,4,660,644,601
Sevier County School System,Pigeon Forge Middle School,37863,-83.5605,35.792313,21.7,18.7,16.8,3,41,75.6,K8,1.9,2.2,2.1,643,552,552
Shelby County Schools,Kate Bond Middle School,38133,-89.80518,35.208709,13.5,11.6,8.8,4,74,75.6,K8,1,1.4,2.2,1235,1188,1152
Tipton County Schools,Covington Integrated Arts Academy,38019,-89.64201,35.560622,7,10.3,8.6,3,40,75.6,K8,2,2.1,2.1,481,456,488
Knox County Schools,Carter High School,37871,-83.67934,36.04051,24.5,23.2,27.6,3,61,75.7,HS,2.9,3.6,3.9,944,891,954
Rutherford County Schools,Smyrna Middle School,37167,-86.52231,35.968513,7.1,8.9,7,3,59,75.7,K8,1.8,3,2.8,1084,920,890
Dickson County School District,Charlotte Middle School,37036,-87.29179,36.225389,10.7,9.6,9.8,2,30,75.8,K8,2.9,3.6,2.4,492,467,435
Dyersburg City Schools,Dyersburg High School,38024,-89.38613,36.038042,5.9,6,15.9,2,53,75.8,HS,2.6,1.7,4,723,711,726
Gibson County Special School District,South Gibson County Middle School,38355,-88.77185,35.795399,5.4,3.9,4.1,3,50,75.8,K8,3.5,3.5,3.7,830,1007,1164
Hamilton County Schools,Tommie F. Brown Academy,37403,-85.2988,35.046173,11,14.8,12.1,2,25,75.8,K8,2.2,2.2,2.6,295,250,267
Shelby County Schools,Whitehaven Elementary,38116,-90.01128,35.03319,18.4,15.2,10.4,3,42,75.8,K8,1,0,1,449,470,422
Metro Nashville Public Schools,Nashville School Of The Arts,37210,-86.74437,36.140857,11.9,21.1,21.2,3,31,75.9,HS,3.2,2.9,2.5,640,554,567
Hardeman County Schools,Whiteville Elementary,38075,-89.15508,35.35001,9.1,13.2,18.3,2,19,75.9,K8,2,1.2,4,229,207,223
Lawrence County Schools,Summertown High School,38483,-87.33748,35.43506,9.9,19.6,13,3,43,76,HS,3,2,1.8,717,689,667
Sweetwater City Schools,Sweetwater Jr High School,37874,-84.46613,35.598659,9.3,11,9.2,1,21,76,K8,1.4,0.6,2.4,334,317,326
Shelby County Schools,Snowden Elementary/Middle,38112,-89.97479,35.148605,13.7,7.8,8.9,4,88,76,K8,1.8,0.3,3.8,1324,1291,1361
Sumner County Schools,Millersville Elementary,37072,-86.71879,36.35465,11.3,8.8,9.6,1,21,76,K8,2.6,1.2,3,270,267,261
Metro Nashville Public Schools,Dodson Elementary,37076,-86.60111,36.180507,14.1,12.4,20.3,2,38,76.1,K8,1,2.2,4,457,407,408
Shelby County Schools,Knight Road Elementary,38118,-89.92426,35.048455,17.1,9,8.3,2,45,76.1,K8,2,2,3.2,476,519,513
Warren County School District,Bobby Ray Memorial,37110,-85.787,35.687286,7.6,10.7,7,1,41,76.1,K8,1.2,1.1,2.3,530,507,511
Knox County Schools,New Hopewell Elementary,37920,-83.89042,35.923517,16.2,8.9,15.2,2,18,76.2,K8,2,3.6,3.6,264,235,230
Athens City Schools,North City Elementary,37303,-84.61975,35.441378,5.1,4.5,6.8,1,17,76.2,K8,2.6,1.3,4,279,271,242
Huntingdon Special School District,Huntingdon Middle School,38344,-88.41385,35.995802,5.5,4.7,5.7,2,32,76.3,K8,2.3,0,4,532,527,514
Sumner County Schools,Gene W. Brown Elementary,37075,-86.61173,36.311047,6,7.6,7.5,1,30,76.3,K8,2.6,0.5,2.6,444,450,452
Cumberland County Schools,Stone Memorial High School,38571,-85.094842,36.04347,17,15.7,17.6,4,60,76.4,HS,2.9,2,3,1073,1008,1032
Metro Nashville Public Schools,McGavock High,37214,-86.66869,36.166956,24.7,22.2,27.7,8,140,76.4,HS,1,0.3,4,2767,2295,2423
Sumner County Schools,Rucker Stewart Middle,37066,-86.4548,36.388997,12.9,13.3,12.4,3,48,76.4,K8,1.7,0.4,2.4,935,816,735
Cumberland County Schools,The Phoenix School,38555,-85.05926,35.929314,53.2,57.1,66.7,1,17,76.5,HS,2,0.4,4,113,79,85
Metro Nashville Public Schools,Cane Ridge High School,37013,-86.64782,36.055115,23.2,24,25.8,8,101,76.5,HS,1,0.2,3.2,2277,1727,1839
Robertson County Schools,Springfield Middle School,37172,-86.86892,36.513979,10.1,11.2,14.1,3,49,76.5,K8,2.6,1.7,3.8,830,741,681
Robertson County Schools,Springfield High School,37172,-86.86892,36.513979,18.3,19.5,17.5,4,77,76.6,HS,2.4,0.7,2.4,1272,1301,1141
Oak Ridge City Schools,Robertsville Middle School,37830,-84.27044,35.992691,16.3,14.3,14.8,2,53,76.7,K8,2.5,3.7,2.1,807,750,708
Bedford County Schools,Shelbyville Central High School,37160,-86.45974,35.47066,14.8,16.9,19.9,5,79,76.7,HS,1.1,3.7,3.9,1565,1506,1497
Metro Nashville Public Schools,Gateway Elementary,37115,-86.70566,36.264069,13.9,16.7,15.7,1,22,76.7,K8,2.3,4,2.5,289,258,282
Hamilton County Schools,Wolftever Creek Elementary,37363,-85.06005,35.087881,11,8.7,7.2,2,41,76.7,K8,2.8,3.8,2.7,649,599,542
Bedford County Schools,Liberty Elementary,37160,-86.45974,35.47066,13,12.7,12.9,2,46,76.8,K8,2,2.7,2.8,792,748,751
Metro Nashville Public Schools,Granbery Elementary,37027,-86.79121,36.007373,6.9,6.3,5.9,2,52,76.8,K8,3.6,3.8,3.3,869,759,724
Greeneville City Schools,Greeneville High School,37745,-82.81406,36.229928,6.8,8.6,6.1,3,61,76.8,HS,3.1,3.3,3.5,946,904,874
Knox County Schools,Austin East High/Magnet,37914,-83.84981,35.988528,40.7,41.5,40.8,5,64,76.8,HS,1.1,0.5,2.3,846,685,643
Blount County Schools,Townsend Elementary,37882,-83.75801,35.680116,22.1,7.2,6.9,1,11,76.9,K8,2,2.6,3.4,145,143,130
Campbell County Schools,White Oak Elementary,37729,-84.02712,36.510252,23.4,10.2,22,1,12,76.9,K8,2.4,3.4,4,147,132,139
Cannon County School District,Short Mountain Elementary,37190,-86.05538,35.813335,16.2,1.5,3.2,1,11,76.9,K8,2.4,2,4,138,129,124
Jackson County Schools,Jackson County Middle School,38562,-85.65757,36.351803,14.1,10.6,6.6,2,28,76.9,K8,0.8,0.2,2.2,427,401,428
McNairy County Schools,Selmer Middle School,38375,-88.59327,35.165045,6.6,3.3,8.3,2,33,76.9,K8,2.6,4,4,447,403,416
Rutherford County Schools,Whitworth-Buchanan Middle School,37127,-86.34445,35.791021,10.6,15.7,15.2,3,54,76.9,K8,1,0.4,2.2,928,836,797
Rutherford County Schools,Christiana Middle School,37037,-86.35134,35.702877,6,8.8,9.3,3,59,76.9,K8,2.6,0.8,2.9,1159,1032,1013
Shelby County Schools,Bruce Elementary,38104,-90.00463,35.133825,12.6,10.3,10.4,2,36,76.9,K8,1,0.3,2.5,571,440,441
Shelby County Schools,Dunbar Elementary,38114,-89.98543,35.101525,15.9,15.6,13,1,22,76.9,K8,3,1,2,262,240,236
Giles County Schools,Southside Elementary,38478,-87.01246,35.204983,7.2,14.7,9,2,28,77,K8,2,3,1.3,414,410,425
Robertson County Schools,Crestview Elementary School,37172,-86.86892,36.513979,11.4,8,10.1,3,53,77,K8,2.2,3.9,3.8,878,785,787
Metro Nashville Public Schools,Hull-Jackson Elementary,37208,-86.80252,36.174806,14.9,15.2,11.4,1,30,77.1,K8,0.8,0.4,0.8,331,296,305
Murfreesboro City Schools,Cason Lane Academy,37128,-86.4455,35.813319,6,6.4,7.9,2,60,77.1,K8,2.7,3.5,3.7,718,852,791
Washington County Schools,Sulphur Springs Elementary,37659,-82.49704,36.293805,11,12.9,11.7,2,31,77.1,K8,3.6,3.2,1.6,389,366,376
Greene County Schools,West Greene High School,37818,-82.96185,36.190417,10.5,11.1,12.4,3,37,77.3,HS,1.2,1.4,3,638,645,632
Hamilton County Schools,Orchard Knob Elementary,37404,-85.2749,35.030474,13.6,13.3,16.1,2,38,77.3,K8,1,3,4,529,483,454
Knox County Schools,Green Magnet Math And Science Academy,37915,-83.90149,35.97125,27,22.3,18.4,3,39,77.3,K8,1,0.5,1.3,414,376,348
Clarksville-Montgomery County School System,Carmel Elementary,37043,-87.2572,36.506407,5.9,4,4.8,2,43,77.3,K8,4,0.4,3.6,706,668,621
Shelby County Schools,Delano Elementary,38127,-90.00646,35.223796,9.3,8,3.1,1,20,77.3,K8,4,3,3.2,226,267,241
Bradley County Schools,Hopewell Elementary School,37312,-84.86489,35.219532,8.6,10.1,7.8,1,31,77.4,K8,2.6,1.9,1.9,427,421,395
Metro Nashville Public Schools,A. Z. Kelley Elementary,37013,-86.64782,36.055115,7.1,6.6,8.4,2,62,77.4,K8,1.9,2.1,4,966,795,765
Hamilton County Schools,Daisy Elementary,37379,-85.16227,35.269694,9.6,8.7,6,1,28,77.4,K8,4,3.3,2.8,404,381,382
Knox County Schools,Bearden Elementary,37919,-84.00384,35.922881,5,6.1,6.6,2,26,77.4,K8,3.6,2.3,2.7,408,345,372
Blount County Schools,Eagleton Elementary,37804,-83.93591,35.781607,11.8,8.8,5.1,1,34,77.5,K8,2.4,1.7,3,495,448,472
Metro Nashville Public Schools,Isaac Litton Middle,37216,-86.72594,36.213004,13.2,12,13.1,2,29,77.5,K8,1.6,1.6,3.1,546,488,500
Metro Nashville Public Schools,Una Elementary,37214,-86.66869,36.166956,8.4,9.6,8.9,3,60,77.5,K8,1.4,2.2,2.4,871,702,755
Anderson County Schools,Clinton Middle School,37716,-84.14656,36.099283,21.4,20.8,19.2,3,41,77.6,K8,1.7,0.5,2.4,687,664,666
Metro Nashville Public Schools,John Overton High,37220,-86.77266,36.069659,22.6,27,30.8,7,116,77.6,HS,1.6,0.1,3.9,2456,1945,2030
Knox County Schools,Beaumont Elementary/Magnet,37921,-83.97413,35.973731,14.9,14,19.6,3,43,77.6,K8,2.5,0.6,3.9,642,563,553
