district_name,school_name,zipcode,longitude,latitude,pct_chronically_absent_2020,percent_ca2019,percent_ca_2018,admin,teacher,percent_retained,pool,score_achievement,score_growth,score_absenteeism,students_total_2020,enrollment_2019,enrollment_2018
Shelby County Schools,Power Center Academy Middle,38115,-89.86291,35.057311,10.8,8,7.8,4,41,55.6,K8,2.2,3.8,3,465,432,458
Metro Nashville Public Schools,Pearl-Cohn High,37208,-86.80252,36.174806,42.4,41.7,43,4,40,56.3,HS,1,0.5,2.4,818,593,678
Metro Nashville Public Schools,LEAD Cameron,37210,-86.74437,36.140857,13.8,15.4,14.7,2,33,56.4,K8,2,4,2.4,911,603,626
Humboldt City Schools,Humboldt Junior/Senior High School,38343,-88.90218,35.825299,17,17.8,14.8,2,34,56.5,HS,1.8,0.1,2,496,407,409
Achievement School District,Martin Luther King Preparatory High School,38127,-90.00646,35.223796,73.3,56,40,1,37,56.5,HS,1.1,0.1,0.3,681,513,576
Metro Nashville Public Schools,Whites Creek High,37189,-86.82052,36.27062,41.7,41.9,43.7,4,42,56.6,HS,0.1,0,2.5,734,651,685
Anderson County Schools,Grand Oaks Elementary,37716,-84.14656,36.099283,13.4,10.9,14.1,1,20,56.7,K8,3.6,3.6,4,307,258,275
Shelby County Schools,Sherwood Middle,38111,-89.94363,35.10935,27.4,28.5,20.9,3,55,56.7,K8,0.9,0.5,0.6,955,792,815
Achievement School District,Cornerstone Prep - Lester Campus,38112,-89.97479,35.148605,32.9,27.3,14,2,33,56.8,K8,0,1.1,0.6,390,375,380
Shelby County Schools,Georgian Hills Middle,38127,-90.00646,35.223796,24.7,31.5,8.1,2,23,57.1,K8,1.3,0.3,0,403,309,261
Metro Nashville Public Schools,Maplewood High,37216,-86.72594,36.213004,41.2,49.6,46.8,4,48,57.7,HS,1,0.1,1.4,1043,765,867
Metro Nashville Public Schools,Nashville Big Picture High School,37209,-86.8559,36.151324,12.2,16.7,25.2,2,15,57.9,K8,3.2,1.9,3.6,169,129,138
Metro Nashville Public Schools,Paragon Mills Elementary,37211,-86.72584,36.079259,7.8,11.2,20.6,2,45,57.9,K8,1.3,3.9,4,675,544,547
Metro Nashville Public Schools,Tom Joy Elementary,37207,-86.77317,36.215535,13.3,16.6,29,2,31,57.9,K8,1,3.8,4,407,353,379
Metro Nashville Public Schools,Rocketship United,37217,-86.66616,36.103408,14.6,15.1,10.4,1,19,57.9,K8,2.7,2.1,1.3,640,544,530
Anderson County Schools,Andersonville Elementary,37705,-84.01131,36.217896,9.4,8.6,10.6,1,24,58.1,K8,4,3.4,3.4,328,304,310
Metro Nashville Public Schools,Lead Academy,37210,-86.74437,36.140857,16.5,23.3,18.1,4,29,58.1,HS,1.3,1.9,1.5,531,445,415
Metro Nashville Public Schools,Thurgood Marshall Middle,37013,-86.64782,36.055115,7.3,5.1,6.6,2,54,58.3,K8,1,2.2,3.9,1191,936,916
Jackson-Madison County Schools,Arlington Elementary School,38301,-88.81959,35.60758,13.4,14.5,20.2,2,42,58.3,K8,0.9,0.2,4,623,569,604
Shelby County Schools,Northwest Prep Academy,38104,-90.00463,35.133825,81.9,89.3,80.3,2,19,58.3,HS,0,0.8,0.4,207,157,159
Metro Nashville Public Schools,Stratford STEM Magnet School,37216,-86.72594,36.213004,39.2,40.4,46.6,6,68,58.6,HS,1.1,0.8,3.7,1261,1006,1106
Clarksville-Montgomery County School System,Burt Elementary,37040,-87.34142,36.528448,10.9,10.2,8,1,26,58.6,K8,1.9,1.3,2,396,347,365
Shelby County Schools,Charjean Elementary,38114,-89.98543,35.101525,16.3,13.7,6.6,2,26,58.6,K8,3,2.1,1.4,353,296,366
Metro Nashville Public Schools,Madison Middle,37115,-86.70566,36.264069,24,23.9,30.2,2,40,58.7,K8,1.2,3.2,4,761,554,567
Metro Nashville Public Schools,Carter-Lawrence Elementary,37203,-86.78927,36.152607,11.3,8.9,13.6,1,24,58.8,K8,2.2,1.8,4,278,272,276
Shelby County Schools,Wooddale High,38118,-89.92426,35.048455,27.9,30.8,38.4,4,49,58.8,HS,1.1,1.7,4,819,597,772
Sevier County School System,Northview Senior Academy,37764,-83.61374,35.97555,18.1,21.8,27.9,3,40,59.1,HS,2.6,0.1,4,560,632,581
Gibson County Special School District,Dyer Elementary,38330,-89.01767,36.073575,6.6,5.5,8.7,2,26,59.4,K8,1.7,2.1,4,438,431,403
Anderson County Schools,Briceville Elementary,37710,-84.28968,36.15231,19.5,9.4,23,1,11,60,K8,2,3.8,4,117,117,109
Shelby County Schools,Melrose High,38114,-89.98543,35.101525,53.8,49.9,30.1,2,37,60,HS,1.9,1,0,794,588,587
Shelby County Schools,Aurora Collegiate Academy,38122,-89.92315,35.155589,5.2,7.8,8.1,1,21,60,K8,3.9,4,3.4,327,335,337
Metro Nashville Public Schools,Margaret Allen Middle,37210,-86.74437,36.140857,15.1,15.9,15.7,1,30,60.5,K8,0.8,2,2.3,662,425,444
Metro Nashville Public Schools,Fall-Hamilton Elementary,37203,-86.78927,36.152607,14.5,13.1,17.7,1,26,60.6,K8,1,0.7,3.9,300,276,254
Metro Nashville Public Schools,Neely's Bend Elementary,37207,-86.77317,36.215535,17.1,18.3,19.7,1,24,60.6,K8,1.5,3.1,3.1,332,269,318
Metro Nashville Public Schools,Shwab Elementary,37207,-86.77317,36.215535,10.8,9.2,20.2,2,25,60.6,K8,3,4,4,336,262,255
Knox County Schools,Karns Middle School,37931,-84.1182,35.976063,14.9,15.4,12.7,3,59,60.8,K8,2.1,0.8,1.7,1044,935,1597
Blount County Schools,Heritage Middle School,37804,-83.93591,35.781607,14,8.6,7.9,2,46,60.9,K8,1.5,0.3,2.9,852,817,815
Shelby County Schools,Craigmont Middle,38128,-89.92588,35.219882,21.2,22.6,3.8,2,45,60.9,K8,2,2.9,0,642,574,555
Metro Nashville Public Schools,John B. Whitsitt Elementary,37210,-86.74437,36.140857,8,15.3,16.5,1,36,61,K8,1.9,3.9,3,520,396,413
Metro Nashville Public Schools,Wright Middle,37211,-86.72584,36.079259,13.2,13.5,19.5,3,54,61,K8,1,1.6,4,1066,748,720
Shelby County Schools,Riverview Elementary/Middle,38109,-90.07523,35.050286,14.7,18.6,13.4,2,39,61.4,K8,2.1,1.3,1.1,550,420,426
Shelby County Schools,Winchester Elementary,38116,-90.01128,35.03319,29,30.2,12.5,2,42,61.4,K8,1.4,1,0.4,735,605,556
Metro Nashville Public Schools,Knowledge Academies High School,37013,-86.64782,36.055115,14.3,21.9,15.6,1,19,61.5,K8,1.1,0.3,0.4,309,356,289
Fayette County Schools,East Jr. High School,38068,-89.32907,35.275036,15.1,13.6,18.3,2,24,61.5,K8,0.9,2.9,4,383,373,329
Jackson-Madison County Schools,Jackson Career Technology Magnet Elementary,38305,-88.80653,35.693101,21.4,23.3,22.5,2,36,61.5,K8,1.9,2.2,2.4,547,467,509
Jackson-Madison County Schools,Alexander Elementary School,38301,-88.81959,35.60758,22.1,20.5,25.4,1,22,62.1,K8,2,3.4,3.9,385,338,341
Metro Nashville Public Schools,Stratton Elementary,37115,-86.70566,36.264069,16.1,20.8,15.4,2,37,62.2,K8,0.1,3.7,0.5,593,483,500
Shelby County Schools,Grandview Heights Middle School,38127,-90.00646,35.223796,33.4,30.3,25,2,35,62.2,K8,1.1,0.8,0.8,543,493,446
Metro Nashville Public Schools,H. G. Hill Middle,37205,-86.86207,36.113558,12.8,12.9,19,3,47,62.5,K8,1.1,3.7,4,844,691,657
Maury County Schools,McDowell Elementary,38401,-87.03565,35.619784,17.5,16.2,13.1,2,24,62.5,K8,3,0.4,1.8,354,299,316
Shelby County Schools,Oakhaven Middle,38108,-89.96028,35.174165,23.2,11.7,2.1,2,18,62.5,K8,3,3,2,405,292,310
Shelby County Schools,Memphis Academy Of Health Sciences,38128,-89.92588,35.219882,12,10,5.4,1,16,62.5,K8,1,0.1,2,313,311,280
Anderson County Schools,Claxton Elementary,37849,-84.04192,36.044507,18.9,14.4,21.3,2,35,63,K8,2,2.7,4,465,443,459
Metro Nashville Public Schools,Park Avenue Elementary,37209,-86.8559,36.151324,17.1,21.5,23,1,27,63,K8,2.2,3.9,3.3,380,326,376
Metro Nashville Public Schools,West End Middle,37205,-86.86207,36.113558,10.9,9.8,6.2,3,38,63.2,K8,2.5,0.6,1.7,580,531,488
Shelby County Schools,Getwell Elementary,38118,-89.92426,35.048455,23.9,19.6,4.9,1,31,63.3,K8,2,2.1,1,523,351,297
Metro Nashville Public Schools,Glencliff High School,37211,-86.72584,36.079259,34.3,33.7,36.4,6,71,63.6,HS,0.9,0.3,3,1607,1162,1252
Hawkins County Schools,McPheeter's Bend Elementary,37642,-82.71292,36.534489,13.3,13.5,17.2,1,6,63.6,K8,2,2,4,101,94,101
Anderson County Schools,Norris Middle School,37828,-84.07017,36.190257,10.9,10.5,11.5,2,29,63.9,K8,2.6,3.9,3.4,533,486,494
Metro Nashville Public Schools,Isaiah T. Creswell Middle School of the Arts,37218,-86.85215,36.206755,11.8,12.5,14.6,3,25,63.9,K8,1,1,3.5,416,422,414
Hamilton County Schools,Barger Academy,37411,-85.2333,35.023824,7.9,8.8,9.6,2,32,63.9,K8,2.7,1.7,3.4,367,415,446
Williamson County Schools,Bethesda Elementary,37179,-86.90734,35.79867,6.4,2.8,3.9,2,40,63.9,K8,4,2.4,3.8,552,539,764
Metro Nashville Public Schools,Antioch High School,37013,-86.64782,36.055115,31.6,27.1,31.3,7,119,64.1,HS,1,0.1,4,2467,1934,2046
Shelby County Schools,Oakhaven Elementary,38118,-89.92426,35.048455,26.8,31.2,14.8,2,37,64.4,K8,0.3,0.4,0.3,618,581,630
Knox County Schools,Maynard Elementary,37921,-83.97413,35.973731,23.4,26.8,26,1,19,64.7,K8,1,0,2.4,169,152,156
Shelby County Schools,Dexter Elementary,38016,-89.776835,35.177475,9.2,9.9,5.9,2,66,64.7,K8,2,2.3,2,942,876,855
Shelby County Schools,Peabody Elementary,38104,-90.00463,35.133825,13.3,8.2,6.6,1,26,64.7,K8,2.6,2,2.8,378,368,332
Metro Nashville Public Schools,Amqui Elementary,37115,-86.70566,36.264069,14.3,12.2,16.7,2,36,64.8,K8,2.1,3.9,4,523,432,479
Millington Municipal School District,Millington Middle School,38053,-89.90668,35.347965,15.5,13.7,18,3,32,64.9,K8,1.9,1.2,3.9,647,560,533
Anderson County Schools,Norwood Middle School,37840,-84.36685,36.045663,9.3,14,16.6,2,16,65,K8,2.8,3.7,3.6,204,183,203
Williamson County Schools,Allendale Elementary School,37174,-86.91144,35.73062,6.8,3,2.8,2,54,65.3,K8,4,2.4,4,715,746,966
Metro Nashville Public Schools,East Nashville Magnet High School,37206,-86.74176,36.180806,15.7,14.8,15.4,3,41,65.4,HS,1.1,0.3,2.4,741,710,748
Hamilton County Schools,Rivermont Elementary,37415,-85.28466,35.116285,11.3,9.8,9.6,1,26,65.4,K8,2.8,3.7,2.1,330,329,280
Shelby County Schools,Havenview Middle,38116,-90.01128,35.03319,16.6,15.4,9.4,3,35,65.4,K8,1.3,3,1.4,823,664,721
Metro Nashville Public Schools,Mt. View Elementary,37013,-86.64782,36.055115,8.9,9.4,10.3,2,46,65.5,K8,2.3,2,3.3,777,638,621
Metro Nashville Public Schools,Rosebank Elementary,37206,-86.74176,36.180806,11.1,10.6,19.2,2,23,65.5,K8,1.6,2.3,4,318,262,227
Shelby County Schools,Gardenview Elementary,38116,-90.01128,35.03319,22.6,23,17.6,1,23,65.5,K8,0.8,0,0.5,372,269,289
Sumner County Schools,J W Wiseman Elementary,37148,-86.51355,36.576137,11,4.9,7.5,1,35,65.8,K8,2.7,2.2,4,423,415,422
