district_name,index,school_name,zipcode,longitude,latitude,students_enrolled,number_of_teachers,percent_ca,percent_retained,pool,score_achievement
Murfreesboro City Schools,1985,Scales Elementary School,37128,-86.4455,35.813319,1038.0,68,3.2,82.7,K8,3.4
Scott County Schools,1986,Burchfield Elementary,37841,-84.51808,36.49787,483.0,37,11.7,92.7,K8,2.0
Scott County Schools,1987,Huntsville Elementary,37756,-84.42137,36.351978,363.0,32,10.6,97.1,K8,2.6
Scott County Schools,1988,Huntsville Middle School,37756,-84.42137,36.351978,299.0,23,6.4,92.3,K8,2.6
Scott County Schools,1989,Robbins Elementary,37852,-84.6022,36.335832,293.0,25,11.0,88.9,K8,3.6
Scott County Schools,1990,Scott High School,37756,-84.42137,36.351978,847.0,54,12.7,86.9,HS,1.0
Scott County Schools,1991,Winfield Elementary,37892,-84.41935,36.563797,166.0,16,10.0,84.2,K8,2.0
Oneida Special School District,1992,Oneida Elementary,37841,-84.51808,36.49787,537.0,41,10.2,95.3,K8,3.0
Oneida Special School District,1993,Oneida Middle School,37841,-84.51808,36.49787,284.0,18,7.5,85.7,K8,1.2
Oneida Special School District,1994,Oneida High School,37841,-84.51808,36.49787,395.0,29,12.5,91.2,HS,3.0
Sequatchie County Schools,1995,Sequatchie Co Middle School,37327,-85.38755,35.399109,690.0,43,12.5,84.6,K8,1.1
Sequatchie County Schools,1996,Griffith Elementary,37327,-85.38755,35.399109,770.0,60,15.9,89.7,K8,1.6
Sequatchie County Schools,1997,Sequatchie Co High School,37327,-85.38755,35.399109,703.0,42,17.6,86.0,HS,1.1
Sevier County School System,1998,Boyds Creek Elementary School,37876,-83.48694,35.860157,427.0,33,15.0,78.3,K8,2.6
Sevier County School System,1999,Catlettsburg Elementary School,37876,-83.48694,35.860157,603.0,42,14.5,88.7,K8,2.8
Sevier County School System,2000,Catons Chapel Elementary,37876,-83.48694,35.860157,439.0,39,20.8,82.6,K8,2.6
Sevier County School System,2001,Gatlinburg Pittman High,37738,-83.47156,35.733627,603.0,46,19.3,82.1,HS,2.9
Sevier County School System,2002,Jones Cove Elementary,37722,-83.24441,35.820011,144.0,16,23.4,81.8,K8,3.6
Sevier County School System,2003,Northview Senior Academy,37764,-83.61374,35.97555,632.0,40,21.8,59.1,HS,2.6
Sevier County School System,2004,Northview Junior Academy,37764,-83.61374,35.97555,635.0,30,14.9,88.9,K8,1.6
Sevier County School System,2005,Northview Elementary,37764,-83.61374,35.97555,508.0,41,16.6,91.1,K8,2.4
Sevier County School System,2006,Northview Intermediate School,37764,-83.61374,35.97555,375.0,25,19.5,71.0,K8,1.9
Sevier County School System,2007,New Center Elementary,37876,-83.48694,35.860157,800.0,52,14.4,98.3,K8,2.6
Sevier County School System,2008,Pi Beta Phi Elementary,37738,-83.47156,35.733627,421.0,41,14.8,90.9,K8,2.7
Sevier County School System,2009,Pigeon Forge Primary,37876,-83.48694,35.860157,693.0,60,18.2,86.6,K8,0.9
Sevier County School System,2010,Pigeon Forge Middle School,37863,-83.5605,35.792313,552.0,41,18.7,75.6,K8,1.9
Sevier County School System,2011,Pigeon Forge High School,37863,-83.5605,35.792313,707.0,56,33.7,90.8,HS,2.3
Sevier County School System,2012,Pittman Center Elementary,37738,-83.47156,35.733627,314.0,22,7.8,80.0,K8,3.2
Sevier County School System,2013,Sevier County High School,37862,-83.59197,35.818653,1229.0,84,19.4,93.8,HS,2.5
Sevier County School System,2014,Sevierville Intermediate,37862,-83.59197,35.818653,698.0,50,12.8,86.4,K8,2.1
Sevier County School System,2015,Sevierville Middle School,37862,-83.59197,35.818653,755.0,45,22.0,86.3,K8,1.8
Sevier County School System,2016,Seymour Junior High,37865,-83.74476,35.853932,767.0,43,18.9,73.8,K8,3.0
Sevier County School System,2017,Seymour Intermediate,37865,-83.74476,35.853932,583.0,33,11.5,69.0,K8,2.7
Sevier County School System,2018,Seymour High School,37865,-83.74476,35.853932,775.0,54,16.5,68.2,HS,2.6
Sevier County School System,2019,Wearwood Elementary,37862,-83.59197,35.818653,186.0,15,13.2,94.7,K8,1.6
Shelby County Schools,2020,Barret's Chapel Elementary/Middle,38002,-89.71198,35.272386,479.0,44,6.3,53.8,K8,1.1
Shelby County Schools,2021,Bolton High,38002,-89.71198,35.272386,912.0,62,28.0,70.0,HS,1.1
Shelby County Schools,2022,Dexter Elementary,38016,-89.776835,35.177475,876.0,66,9.9,64.7,K8,2.0
Shelby County Schools,2023,Dexter Middle,38018,-89.78249,35.157681,382.0,26,11.0,82.1,K8,2.3
Shelby County Schools,2024,E.E. Jeter Elementary/Middle,38053,-89.90668,35.347965,408.0,31,7.6,85.7,K8,3.3
Shelby County Schools,2025,Germantown Elementary,38138,-89.80677,35.088885,645.0,48,6.2,90.9,K8,2.8
Shelby County Schools,2026,Germantown Middle,38138,-89.80677,35.088885,722.0,46,6.3,84.3,K8,2.9
Shelby County Schools,2027,Highland Oaks Elementary,38125,-89.80329,35.035466,783.0,56,5.5,75.4,K8,2.9
Shelby County Schools,2028,Germantown High,38138,-89.80677,35.088885,1976.0,109,10.8,90.8,HS,2.1
Shelby County Schools,2029,Lucy Elementary,38053,-89.90668,35.347965,379.0,28,6.8,74.3,K8,1.0
Shelby County Schools,2030,Macon-Hall Elementary,38016,-89.776835,35.177475,1155.0,76,6.3,86.3,K8,2.9
Shelby County Schools,2031,Mt. Pisgah Middle,38016,-89.776835,35.177475,487.0,29,5.8,69.7,K8,1.1
Shelby County Schools,2032,Northaven Elementary,38127,-90.00646,35.223796,318.0,25,30.3,86.7,K8,1.8
Shelby County Schools,2033,Southwind Elementary,38125,-89.80329,35.035466,717.0,53,13.2,86.0,K8,3.0
Shelby County Schools,2034,Southwind High,38125,-89.80329,35.035466,1640.0,87,22.0,80.2,HS,1.0
Shelby County Schools,2035,Woodstock Middle School,38053,-89.90668,35.347965,292.0,19,24.1,45.5,K8,1.0
Shelby County Schools,2036,Highland Oaks Middle,38125,-89.80329,35.035466,740.0,40,11.3,82.6,K8,1.0
Shelby County Schools,2037,Lowrance Elementary/Middle,38125,-89.80329,35.035466,811.0,55,8.4,83.6,K8,2.2
Shelby County Schools,2038,A. B. Hill Elementary,38106,-90.04017,35.103019,245.0,29,16.0,42.4,K8,3.0
Shelby County Schools,2039,Kate Bond Middle School,38133,-89.80518,35.208709,1188.0,74,11.6,75.6,K8,1.0
Shelby County Schools,2040,Alton Elementary,38106,-90.04017,35.103019,278.0,23,14.0,74.1,K8,2.0
Shelby County Schools,2041,American Way Middle,38118,-89.92426,35.048455,739.0,43,25.8,20.4,K8,1.1
Shelby County Schools,2042,B. T. Washington High,38126,-90.04359,35.126469,483.0,39,29.7,85.1,HS,1.0
Shelby County Schools,2043,Berclair Elementary,38122,-89.92315,35.155589,632.0,46,10.5,79.2,K8,4.0
Shelby County Schools,2044,Chimneyrock Elementary School,38016,-89.776835,35.177475,906.0,61,7.9,73.6,K8,2.6
Shelby County Schools,2045,Bethel Grove Elementary,38114,-89.98543,35.101525,236.0,20,17.0,83.3,K8,2.2
Shelby County Schools,2046,William Herbert Brewster Elementary School,38112,-89.97479,35.148605,427.0,38,10.8,85.0,K8,1.3
Shelby County Schools,2047,Brownsville Road Elementary,38135,-89.85214,35.232085,554.0,43,13.7,66.7,K8,3.0
Shelby County Schools,2048,Bruce Elementary,38104,-90.00463,35.133825,440.0,36,10.3,76.9,K8,1.0
Shelby County Schools,2049,Campus Elementary,38152,-89.971538,35.201738,332.0,23,0.3,100.0,K8,4.0
Shelby County Schools,2050,Central High,38104,-90.00463,35.133825,1507.0,88,19.1,89.7,HS,2.8
Shelby County Schools,2051,Charjean Elementary,38114,-89.98543,35.101525,296.0,26,13.7,58.6,K8,3.0
Shelby County Schools,2052,Cherokee Elementary,38114,-89.98543,35.101525,439.0,31,5.7,78.8,K8,1.0
Shelby County Schools,2060,Chickasaw Middle,38109,-90.07523,35.050286,360.0,21,35.2,50.0,K8,0.5
Shelby County Schools,2061,Colonial Middle,38117,-89.90389,35.112929,1136.0,67,9.5,82.7,K8,2.5
Shelby County Schools,2062,Kate Bond Elementary School,38133,-89.80518,35.208709,833.0,63,7.0,86.8,K8,3.0
Shelby County Schools,2063,Cordova Elementary,38018,-89.78249,35.157681,809.0,59,10.6,79.4,K8,1.3
Shelby County Schools,2064,Cordova Middle,38018,-89.78249,35.157681,799.0,43,6.4,68.0,K8,1.5
Shelby County Schools,2065,Cordova High School,38016,-89.776835,35.177475,2270.0,132,23.4,79.7,HS,1.1
Shelby County Schools,2066,Craigmont High,38128,-89.92588,35.219882,830.0,54,36.8,89.1,HS,1.3
Shelby County Schools,2067,Craigmont Middle,38128,-89.92588,35.219882,574.0,45,22.6,60.9,K8,2.0
Shelby County Schools,2068,Cromwell Elementary,38118,-89.92426,35.048455,464.0,35,5.3,80.5,K8,1.7
Shelby County Schools,2069,Crump Elementary,38141,-89.84701,35.016803,558.0,46,14.0,89.4,K8,1.1
Shelby County Schools,2070,Cummings Elementary/Middle,38106,-90.04017,35.103019,516.0,38,14.3,55.3,K8,1.8
Shelby County Schools,2071,Delano Elementary,38127,-90.00646,35.223796,267.0,20,8.0,77.3,K8,4.0
Shelby County Schools,2072,Double Tree Elementary,38109,-90.07523,35.050286,375.0,24,11.6,89.3,K8,2.0
Shelby County Schools,2073,Douglass Elementary/Middle,38108,-89.96028,35.174165,453.0,39,22.5,82.6,K8,1.0
Shelby County Schools,2074,Douglass High,38108,-89.96028,35.174165,563.0,38,13.4,81.0,HS,1.0
Shelby County Schools,2075,Downtown Elementary,38103,-90.0534,35.146131,608.0,46,9.4,89.4,K8,3.0
Shelby County Schools,2076,Dunbar Elementary,38114,-89.98543,35.101525,240.0,22,15.6,76.9,K8,3.0
Shelby County Schools,2077,East High,38111,-89.94363,35.10935,373.0,49,29.5,78.4,HS,4.0
Shelby County Schools,2078,Egypt Elementary,38128,-89.92588,35.219882,507.0,36,12.9,73.8,K8,1.3
Shelby County Schools,2079,Evans Elementary,38118,-89.92426,35.048455,449.0,36,9.2,78.4,K8,2.0
Shelby County Schools,2080,Ford Road Elementary,38109,-90.07523,35.050286,524.0,39,8.4,73.8,K8,0.2
Shelby County Schools,2081,Fox Meadows Elementary,38115,-89.86291,35.057311,579.0,41,17.3,89.1,K8,1.2
Shelby County Schools,2082,Gardenview Elementary,38116,-90.01128,35.03319,269.0,23,23.0,65.5,K8,0.8
Shelby County Schools,2083,Georgian Hills Middle,38127,-90.00646,35.223796,309.0,23,31.5,57.1,K8,1.3
Shelby County Schools,2084,Germanshire Elementary,38125,-89.80329,35.035466,789.0,55,7.1,86.2,K8,3.0
Shelby County Schools,2085,Getwell Elementary,38118,-89.92426,35.048455,351.0,31,19.6,63.3,K8,2.0
Shelby County Schools,2086,Goodlett Elementary,38118,-89.92426,35.048455,418.0,35,15.7,81.0,K8,0.3
Shelby County Schools,2087,Grahamwood Elementary,38122,-89.92315,35.155589,981.0,73,8.0,92.1,K8,3.2
Shelby County Schools,2088,Hamilton Elementary,38106,-90.04017,35.103019,349.0,25,14.0,88.0,K8,2.2
Shelby County Schools,2089,Hamilton Middle,38106,-90.04017,35.103019,236.0,21,28.8,78.3,K8,1.0
Shelby County Schools,2090,Hamilton High,38106,-90.04017,35.103019,656.0,53,56.1,67.8,HS,0.0
Shelby County Schools,2091,Havenview Middle,38116,-90.01128,35.03319,664.0,35,15.4,65.4,K8,1.3
Shelby County Schools,2092,Hawkins Mill Elementary,38127,-90.00646,35.223796,323.0,25,6.0,55.2,K8,2.0
Shelby County Schools,2093,Hickory Ridge Elementary,38115,-89.86291,35.057311,681.0,51,6.7,54.4,K8,3.9
Shelby County Schools,2094,Hickory Ridge Middle,38115,-89.86291,35.057311,890.0,54,12.5,89.7,K8,1.2
Shelby County Schools,2095,Hollis F. Price Middle College,38126,-90.04359,35.126469,109.0,10,16.3,80.0,K8,3.2
Shelby County Schools,2096,Holmes Road Elementary,38116,-90.01128,35.03319,588.0,45,14.0,68.0,K8,3.8
Shelby County Schools,2097,Ida B. Wells Academy ES/MS,38126,-90.04359,35.126469,175.0,18,11.2,90.5,K8,3.0
Shelby County Schools,2098,Idlewild Elementary,38104,-90.00463,35.133825,486.0,31,4.7,81.6,K8,3.8
Shelby County Schools,2099,Jackson Elementary,38108,-89.96028,35.174165,299.0,26,6.6,74.2,K8,2.1
Shelby County Schools,2100,J. P. Freeman Elementary/Middle,38109,-90.07523,35.050286,622.0,42,1.6,85.4,K8,4.0
Shelby County Schools,2101,Keystone Elementary,38128,-89.92588,35.219882,460.0,35,18.5,73.8,K8,1.3
Shelby County Schools,2102,Kingsbury Elementary,38108,-89.96028,35.174165,523.0,49,14.8,86.8,K8,3.3
Shelby County Schools,2103,Kingsbury Middle,38122,-89.92315,35.155589,654.0,40,14.4,86.0,K8,1.1
Shelby County Schools,2104,Kingsbury High,38122,-89.92315,35.155589,1289.0,81,45.0,78.9,HS,1.1
Shelby County Schools,2105,Kirby High,38115,-89.86291,35.057311,821.0,63,53.1,83.1,HS,1.1
Shelby County Schools,2106,Knight Road Elementary,38118,-89.92426,35.048455,519.0,45,9.0,76.1,K8,2.0
Shelby County Schools,2107,Larose Elementary,38126,-90.04359,35.126469,284.0,25,33.2,41.4,K8,0.0
Shelby County Schools,2108,Levi Elementary,38109,-90.07523,35.050286,429.0,30,16.7,45.2,K8,4.0
Shelby County Schools,2109,Lucie E. Campbell Elementary,38127,-90.00646,35.223796,558.0,40,14.5,84.1,K8,2.5
Shelby County Schools,2110,Magnolia Elementary,38114,-89.98543,35.101525,370.0,36,25.7,48.3,K8,2.2
Shelby County Schools,2111,Manassas High,38107,-90.02224,35.167515,454.0,34,43.2,82.5,HS,1.0
Shelby County Schools,2112,Melrose High,38114,-89.98543,35.101525,588.0,37,49.9,60.0,HS,1.9
Shelby County Schools,2113,Mitchell High,38109,-90.07523,35.050286,456.0,30,33.1,79.4,HS,1.0
Shelby County Schools,2114,Newberry Elementary,38115,-89.86291,35.057311,464.0,32,8.7,45.9,K8,2.8
Shelby County Schools,2115,Oakhaven Elementary,38118,-89.92426,35.048455,581.0,37,31.2,64.4,K8,0.3
Shelby County Schools,2116,Oakhaven Middle,38108,-89.96028,35.174165,292.0,18,11.7,62.5,K8,3.0
Shelby County Schools,2117,Oakhaven High,38118,-89.92426,35.048455,339.0,27,34.7,55.2,HS,2.0
Shelby County Schools,2118,Oakshire Elementary,38116,-90.01128,35.03319,345.0,29,23.9,24.2,K8,2.0
Shelby County Schools,2119,Overton High,38117,-89.90389,35.112929,1116.0,77,31.0,80.5,HS,1.0
Shelby County Schools,2120,Peabody Elementary,38104,-90.00463,35.133825,368.0,26,8.2,64.7,K8,2.6
Shelby County Schools,2121,Raleigh-Bartlett Meadows Elementary,38134,-89.86559,35.193046,462.0,33,16.0,88.6,K8,1.0
Shelby County Schools,2122,Raleigh-Egypt High,38128,-89.92588,35.219882,1006.0,71,34.1,70.4,HS,1.1
Shelby County Schools,2123,Balmoral/Ridgeway Elementary,38119,-89.84892,35.082936,325.0,23,8.7,85.7,K8,2.8
Shelby County Schools,2124,Ridgeway Middle,38119,-89.84892,35.082936,758.0,41,3.9,51.1,K8,1.1
Shelby County Schools,2125,Ridgeway High,38119,-89.84892,35.082936,1184.0,67,37.5,84.9,HS,1.7
Shelby County Schools,2126,Riverview Elementary/Middle,38109,-90.07523,35.050286,420.0,39,18.6,61.4,K8,2.1
Shelby County Schools,2127,Robert R. Church Elementary,38116,-90.01128,35.03319,695.0,50,7.3,30.4,K8,4.0
Shelby County Schools,2128,Ross Elementary,38141,-89.84701,35.016803,663.0,47,12.0,80.4,K8,1.1
Shelby County Schools,2129,Rozelle Elementary,38114,-89.98543,35.101525,239.0,20,6.0,87.0,K8,1.8
Shelby County Schools,2130,Scenic Hills Elementary,38128,-89.92588,35.219882,288.0,27,14.5,51.5,K8,2.0
Shelby County Schools,2131,Sea Isle Elementary,38117,-89.90389,35.112929,441.0,42,11.1,93.0,K8,2.5
Shelby County Schools,2132,Shady Grove Elementary,38120,-89.86562,35.124818,375.0,29,12.9,84.8,K8,2.0
Shelby County Schools,2133,Sharpe Elementary,38111,-89.94363,35.10935,298.0,27,12.9,83.3,K8,1.3
Shelby County Schools,2134,Sheffield Elementary,38118,-89.92426,35.048455,581.0,46,18.9,48.8,K8,3.0
Shelby County Schools,2135,Sheffield High,38118,-89.92426,35.048455,668.0,45,32.3,72.2,HS,1.8
Shelby County Schools,2136,Sherwood Elementary,38111,-89.94363,35.10935,600.0,46,16.3,81.1,K8,1.3
Shelby County Schools,2137,Sherwood Middle,38111,-89.94363,35.10935,792.0,55,28.5,56.7,K8,0.9
Shelby County Schools,2138,Shelby Oaks Elementary,38134,-89.86559,35.193046,833.0,59,10.5,86.4,K8,1.2
Shelby County Schools,2139,Snowden Elementary/Middle,38112,-89.97479,35.148605,1291.0,88,7.8,76.0,K8,1.8
Shelby County Schools,2140,Oak Forest Elementary,38119,-89.84892,35.082936,426.0,33,4.9,88.6,K8,2.0
Shelby County Schools,2141,South Park Elementary,38111,-89.94363,35.10935,515.0,50,12.5,81.5,K8,3.1
Shelby County Schools,2142,Treadwell Elementary,38122,-89.92315,35.155589,690.0,56,18.7,66.7,K8,0.1
Shelby County Schools,2143,Riverwood Elementary School,38016,-89.776835,35.177475,958.0,64,5.2,78.4,K8,3.9
Shelby County Schools,2144,Treadwell Middle School,38122,-89.92315,35.155589,484.0,31,23.7,70.6,K8,2.0
Shelby County Schools,2145,Trezevant High,38127,-90.00646,35.223796,554.0,37,60.9,73.1,HS,0.9
Shelby County Schools,2146,Vollentine Elementary,38107,-90.02224,35.167515,339.0,28,8.0,80.0,K8,2.8
Shelby County Schools,2147,A. Maceo Walker Middle,38116,-90.01128,35.03319,740.0,41,32.6,73.9,K8,1.2
Shelby County Schools,2148,Wells Station Elementary,38108,-89.96028,35.174165,736.0,63,13.5,84.6,K8,1.0
Shelby County Schools,2149,Westwood High,38109,-90.07523,35.050286,373.0,32,58.0,52.5,HS,2.0
Shelby County Schools,2150,White Station Elementary,38117,-89.90389,35.112929,641.0,48,2.4,86.3,K8,3.7
Shelby County Schools,2151,White Station High,38117,-89.90389,35.112929,2144.0,131,17.9,89.9,HS,3.4
Shelby County Schools,2152,White Station Middle,38120,-89.86562,35.124818,1287.0,78,4.6,84.8,K8,3.3
Shelby County Schools,2153,Whitehaven Elementary,38116,-90.01128,35.03319,470.0,42,15.2,75.8,K8,1.0
Shelby County Schools,2154,Whitehaven High,38116,-90.01128,35.03319,1652.0,94,35.9,83.7,HS,2.6
Shelby County Schools,2155,Willow Oaks Elementary,38117,-89.90389,35.112929,723.0,52,12.6,69.2,K8,2.0
Shelby County Schools,2156,Winchester Elementary,38116,-90.01128,35.03319,605.0,42,30.2,61.4,K8,1.4
Shelby County Schools,2157,Winridge Elementary,38115,-89.86291,35.057311,507.0,35,14.0,73.2,K8,1.4
Shelby County Schools,2158,Wooddale High,38118,-89.92426,35.048455,597.0,49,30.8,58.8,HS,1.1
Shelby County Schools,2159,Northwest Prep Academy,38104,-90.00463,35.133825,157.0,19,89.3,58.3,HS,0.0
Shelby County Schools,2160,Grandview Heights Middle School,38127,-90.00646,35.223796,493.0,35,30.3,62.2,K8,1.1
Shelby County Schools,2161,Maxine Smith STEAM Academy,38104,-90.00463,35.133825,357.0,23,1.1,62.5,K8,4.0
Shelby County Schools,2162,Westhaven Elementary,38109,-90.07523,35.050286,802.0,45,21.3,80.0,K8,2.3
Shelby County Schools,2163,DuBois Middle of Leadership  Public Policy,38106,-90.04017,35.103019,127.0,9,16.1,62.5,K8,3.0
Shelby County Schools,2164,DuBois Middle School of Arts  Technology,38116,-90.01128,35.03319,129.0,7,9.6,23.1,K8,2.0
Shelby County Schools,2165,DuBois Elementary School of Entrepreneurship,38125,-89.80329,35.035466,239.0,9,20.3,38.5,K8,2.4
Shelby County Schools,2166,DuBois Elementary School of Arts  Technology,38116,-90.01128,35.03319,205.0,13,17.3,66.7,K8,1.8
Shelby County Schools,2167,Circles Of Success Learning Academy,38106,-90.04017,35.103019,239.0,14,11.3,92.9,K8,2.0
Shelby County Schools,2168,KIPP Memphis Collegiate High School,38108,-89.96028,35.174165,488.0,28,31.2,75.0,HS,1.9
Shelby County Schools,2169,City University School Of Liberal Arts,38106,-90.04017,35.103019,269.0,14,20.3,27.3,HS,3.0
Shelby County Schools,2170,Memphis Academy Of Science  Engineering Middle/High,38104,-90.00463,35.133825,605.0,40,53.3,83.3,HS,1.0
Shelby County Schools,2171,Power Center Academy High School,38115,-89.86291,35.057311,581.0,27,15.4,33.3,HS,1.9
Shelby County Schools,2172,Memphis Business Academy Elementary School,38127,-90.00646,35.223796,305.0,18,16.0,66.7,K8,2.9
Shelby County Schools,2173,Memphis Academy Of Health Sciences,38128,-89.92588,35.219882,311.0,16,10.0,62.5,K8,1.0
Shelby County Schools,2174,Memphis Academy of Health Sciences High School,38107,-90.02224,35.167515,423.0,25,51.6,66.7,HS,2.0
Shelby County Schools,2175,Memphis Business Academy Middle,38134,-89.86559,35.193046,479.0,22,24.6,65.2,K8,1.1
Shelby County Schools,2176,Memphis Business Academy High School,38127,-90.00646,35.223796,467.0,26,44.7,55.6,HS,1.2
Shelby County Schools,2177,Power Center Academy Middle,38115,-89.86291,35.057311,432.0,41,8.0,55.6,K8,2.2
Shelby County Schools,2178,Promise Academy,38108,-89.96028,35.174165,365.0,20,4.1,71.0,K8,2.2
Shelby County Schools,2179,Southern Avenue Charter School Of Academic Excellence  Creative Arts,38132,-89.99788,35.073545,364.0,22,26.0,50.0,K8,1.2
Shelby County Schools,2180,Star Academy,38108,-89.96028,35.174165,277.0,15,11.0,53.3,K8,0.0
Shelby County Schools,2181,Soulsville Charter School,38106,-90.04017,35.103019,658.0,38,17.3,74.4,HS,1.8
Shelby County Schools,2182,Freedom Preparatory Academy,38109,-90.07523,35.050286,672.0,20,7.2,37.2,HS,1.4
Shelby County Schools,2183,KIPP Memphis Collegiate Middle,38108,-89.96028,35.174165,323.0,18,30.8,45.8,K8,1.1
Shelby County Schools,2184,Memphis College Preparatory,38106,-90.04017,35.103019,252.0,18,25.9,61.1,K8,2.0
Shelby County Schools,2185,Memphis School of Excellence,38118,-89.92426,35.048455,522.0,33,10.5,52.1,HS,1.9
Shelby County Schools,2186,Veritas College Preparatory,38106,-90.04017,35.103019,142.0,11,39.6,80.0,K8,3.0
Shelby County Schools,2187,Aurora Collegiate Academy,38122,-89.92315,35.155589,335.0,21,7.8,60.0,K8,3.9
Shelby County Schools,2188,KIPP Memphis Middle Academy,38108,-89.96028,35.174165,340.0,19,30.5,55.2,K8,1.0
Shelby County Schools,2189,Memphis Grizzlies Preparatory Charter School,38103,-90.0534,35.146131,346.0,18,8.4,61.1,K8,1.3
Shelby County Schools,2190,KIPP Memphis Collegiate Elementary,38107,-90.02224,35.167515,438.0,22,22.9,56.7,K8,0.2
Shelby County Schools,2191,Vision Preparatory Charter School,38109,-90.07523,35.050286,363.0,22,24.6,94.4,K8,1.0
Shelby County Schools,2192,Power Center Academy Elementary School,38115,-89.86291,35.057311,639.0,14,16.6,38.5,K8,0.0
Shelby County Schools,2193,Granville T. Woods Academy of Innovation Charter School,38128,-89.92588,35.219882,417.0,25,24.2,70.4,K8,2.8
Shelby County Schools,2194,Leadership Preparatory Charter School,38111,-89.94363,35.10935,266.0,18,13.3,80.0,K8,2.0
Shelby County Schools,2195,Kaleidoscope School of Memphis,38103,-90.0534,35.146131,69.0,4,8.6,0.0,K8,1.0
Shelby County Schools,2196,Southwest Early College High School,38103,-90.0534,35.146131,178.0,15,11.6,66.7,K8,2.0
Arlington Municipal School District,2197,Arlington High,38002,-89.71198,35.272386,2071.0,114,5.2,92.1,HS,2.7
Arlington Municipal School District,2198,Arlington Elementary,38002,-89.71198,35.272386,787.0,59,2.3,91.5,K8,4.0
Arlington Municipal School District,2199,Arlington Middle,38002,-89.71198,35.272386,962.0,52,3.6,82.8,K8,3.4
Arlington Municipal School District,2200,Donelson Elementary,38002,-89.71198,35.272386,853.0,57,2.3,77.6,K8,4.0
Bartlett Municipal School District,2201,Altruria Elementary,38134,-89.86559,35.193046,816.0,53,4.5,91.7,K8,3.7
Bartlett Municipal School District,2202,Appling Middle School,38133,-89.80518,35.208709,700.0,39,9.7,75.5,K8,3.7
Bartlett Municipal School District,2203,Bartlett Elementary School,38135,-89.85214,35.232085,670.0,50,5.4,94.4,K8,4.0
Bartlett Municipal School District,2204,Bartlett High School,38134,-89.86559,35.193046,2734.0,152,8.8,91.1,HS,3.0
Bartlett Municipal School District,2205,Bon Lin Elementary School,38134,-89.86559,35.193046,832.0,55,5.9,85.2,K8,3.7
Bartlett Municipal School District,2206,Bon Lin Middle School,38133,-89.80518,35.208709,767.0,44,8.3,80.0,K8,3.2
Bartlett Municipal School District,2207,Ellendale Elementary,38135,-89.85214,35.232085,509.0,35,5.4,86.5,K8,3.6
Bartlett Municipal School District,2208,Elmore Park Middle School,38134,-89.86559,35.193046,823.0,44,11.4,80.4,K8,2.4
Bartlett Municipal School District,2209,Oak Elementary,38134,-89.86559,35.193046,635.0,47,5.4,84.9,K8,3.5
Bartlett Municipal School District,2210,Rivercrest Elementary,38135,-89.85214,35.232085,531.0,36,7.2,92.9,K8,3.6
Collierville Municipal School District,2211,Bailey Station Elementary School,38017,-89.67417,35.057224,784.0,57,2.8,92.1,K8,3.9
Collierville Municipal School District,2212,Collierville Elementary School,38017,-89.67417,35.057224,839.0,64,5.9,87.9,K8,3.5
Collierville Municipal School District,2213,Collierville High School,38017,-89.67417,35.057224,2773.0,141,14.3,83.8,HS,3.6
Collierville Municipal School District,2214,Collierville Middle School,38017,-89.67417,35.057224,890.0,55,5.5,86.2,K8,3.2
Collierville Municipal School District,2215,Crosswind Elementary School,38017,-89.67417,35.057224,784.0,55,4.3,88.1,K8,3.8
Collierville Municipal School District,2216,West Collierville Middle School,38017,-89.67417,35.057224,1237.0,69,5.3,89.9,K8,3.6
Collierville Municipal School District,2217,Sycamore Elementary School,38017,-89.67417,35.057224,514.0,44,3.0,67.6,K8,3.9
Collierville Municipal School District,2218,Tara Oaks Elementary School,38017,-89.67417,35.057224,643.0,51,3.3,90.0,K8,4.0
Germantown Municipal School District,2219,Dogwood Elementary School,38139,-89.7615,35.087468,943.0,60,1.2,87.3,K8,4.0
Germantown Municipal School District,2220,Farmington Elementary School,38138,-89.80677,35.088885,818.0,57,2.9,89.6,K8,3.6
Germantown Municipal School District,2221,Houston Middle School,38139,-89.7615,35.087468,961.0,53,2.3,82.0,K8,3.5
Germantown Municipal School District,2222,Houston High School,38139,-89.7615,35.087468,1906.0,107,5.2,88.0,HS,3.3
Germantown Municipal School District,2223,Riverdale Elementary School,38138,-89.80677,35.088885,1427.0,86,3.6,88.4,K8,3.4
Millington Municipal School District,2224,E.A. Harrold Elementary School,38053,-89.90668,35.347965,338.0,24,17.3,79.3,K8,2.8
Millington Municipal School District,2225,Millington Elementary School,38053,-89.90668,35.347965,756.0,61,15.5,95.4,K8,1.9
Millington Municipal School District,2226,Millington Central High School,38053,-89.90668,35.347965,833.0,54,16.1,80.9,HS,2.5
Millington Municipal School District,2227,Millington Middle School,38053,-89.90668,35.347965,560.0,32,13.7,64.9,K8,1.9
Smith County School District,2228,Carthage Elementary,37030,-85.94893,36.264959,340.0,24,5.2,68.8,K8,2.6
Smith County School District,2229,Defeated Elementary,37030,-85.94893,36.264959,230.0,19,2.6,85.7,K8,2.6
Smith County School District,2230,Forks River Elementary,38560,-85.88908,36.236398,180.0,13,7.4,80.0,K8,3.0
Smith County School District,2231,Gordonsville High School,38563,-85.9832,36.182334,465.0,31,7.8,88.2,HS,2.6
